"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Slovakia";"2";"1206";"Beata Kovacikova";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Slovakia";"1";"1207";"Emoke Kissova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"3";"1208";"Janka Kurucova";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0"
"Slovakia";"4";"1209";"Lenka Garancovska";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Slovakia";"7";"1212";"Natalia Peckova";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"Slovakia";"5";"1210";"Emma Junasova";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0"
"Slovakia";"8";"1213";"Tamara Kolarova";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Slovakia";"9";"1214";"Miroslava Stankovianska";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0"
"Slovakia";"6";"1211";"Monika Sedlakova";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Slovakia";"10";"1215";"Ivana Majlathova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Slovakia";"11";"1216";"Daniela Katlovska";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0"
"Slovakia";"13";"1218";"Kristina Horvathova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"10"
"Netherlands";"1";"1232";"Joanne Koenders";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Netherlands";"3";"1117";"Dagmar Genee";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"0";"0"
"Slovakia";"12";"1217";"Katarina Kissova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0"
"Netherlands";"2";"1116";"Maud Megens";"5";"9";"1";"3";"0";"0";"1";"2";"1";"1";"2";"3";"2";"3";"0";"0";"0";"0";"1";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"2";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"2";"1";"2";"0";"4";"0";"0";"1";"0"
"Netherlands";"5";"1119";"Iris Wolves";"3";"4";"2";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0";"3";"1";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0"
"Netherlands";"6";"1120";"Nomi Stomphorst";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"7";"1121";"Bente Rogge";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"1";"0";"0"
"Netherlands";"10";"1123";"Kitty-Lynn Joustra";"2";"4";"1";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"Netherlands";"9";"1233";"Maartje Keuning";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"2";"0";"0"
"Netherlands";"12";"1126";"Brigitte Sleeking";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"6";"0";"1";"0";"0";"1";"1";"0";"0"
"Netherlands";"11";"1234";"Simone van de Kraats";"2";"5";"0";"3";"0";"0";"2";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0"
"Netherlands";"13";"1127";"Debby Willemsz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
