"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"1";"1235";"Csenge Gaal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"Greece";"10";"1248";"Eirini Ninou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Greece";"9";"1247";"Christina Kotsia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Greece";"12";"1139";"Eleni Xenaki";"3";"5";"2";"3";"0";"0";"0";"0";"0";"0";"1";"2";"0";"5";"1";"0";"0";"0";"4";"1";"0"
"Greece";"13";"1140";"Ioanna Stamatopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22"
"Greece";"11";"1138";"Eleftheria Plevritou";"3";"4";"1";"2";"0";"0";"1";"1";"1";"1";"0";"0";"3";"0";"0";"0";"1";"1";"1";"0";"0"
"France";"4";"1236";"Camelia Bouloukbachi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0"
"Greece";"1";"1128";"Chrysoula Diamantopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"France";"13";"1166";"Lorène Derenty";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"France";"8";"1238";"Camille Radosavljevic";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"France";"3";"1156";"Léa Bachelier";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Greece";"6";"1133";"Alkisti Avramidou";"2";"6";"1";"5";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0"
"France";"5";"1158";"Louise Guillet";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"France";"9";"1162";"Yaëlle Deschampt";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Greece";"5";"1132";"Margarita Plevritou";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0"
"France";"11";"1243";"Clemence Clerc";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"France";"10";"1242";"Ema Vernoux";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Greece";"3";"1130";"Vasiliki Diamantopoulou";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"12";"1165";"Audrey Daule";"0";"8";"0";"5";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0";"0";"3";"1";"1";"0";"0"
"France";"6";"1159";"Géraldine delete Mahieu";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Greece";"4";"1131";"Nicoleta Eleftheriadou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"2";"0";"0"
"France";"2";"1155";"Estelle Millot";"0";"7";"0";"5";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0"
"Greece";"2";"1129";"Christina Tsoukala";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"7";"1237";"Juliette Dhalluin";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Greece";"7";"1245";"Maria Myriokefalitaki";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Greece";"8";"1246";"Alkistis Christina Benekou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
