"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"ROC";"1";"1114";"Anna Ustyukhina";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Netherlands";"12";"1126";"Brigitte Sleeking";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0"
"Netherlands";"10";"1123";"Kitty-Lynn Joustra";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0"
"Netherlands";"13";"1127";"Debby Willemsz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Netherlands";"11";"1234";"Simone van de Kraats";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"ROC";"8";"1106";"Anastasia Simanovich";"1";"5";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"2";"0"
"ROC";"5";"1108";"Maria Borisova";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ROC";"4";"1102";"Elvina Karimova";"2";"5";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"1";"0";"1";"2";"0";"0"
"Netherlands";"3";"1117";"Dagmar Genee";"0";"3";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0";"0"
"ROC";"11";"1111";"Evgeniya Ivanova";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"ROC";"2";"1100";"Maria Bersneva";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"ROC";"10";"1109";"Evgenia Soboleva";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"ROC";"6";"1104";"Olga Gorbunova";"5";"8";"2";"5";"0";"0";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"ROC";"7";"1105";"Alena Serzhantova";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"ROC";"3";"1101";"Ekaterina Prokofyeva";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0"
"ROC";"13";"1113";"Anna Karnaukh";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"2";"5";"2";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"2";"2";"1";"0";"0";"0"
"Netherlands";"5";"1119";"Iris Wolves";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0"
"Netherlands";"6";"1120";"Nomi Stomphorst";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"3";"0";"0";"0"
"ROC";"12";"1110";"Anastasia Fedotova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"ROC";"9";"1107";"Anna Timofeeva";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0"
"Netherlands";"2";"1116";"Maud Megens";"3";"13";"1";"8";"0";"0";"0";"2";"2";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0"
"Netherlands";"7";"1121";"Bente Rogge";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Netherlands";"1";"1232";"Joanne Koenders";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Netherlands";"9";"1233";"Maartje Keuning";"2";"3";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0"
