"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"3";"1156";"Léa Bachelier";"5";"5";"4";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0"
"France";"1";"1235";"Csenge Gaal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1155";"Estelle Millot";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"1";"0";"0";"0";"3";"0";"0"
"France";"6";"1159";"Géraldine delete Mahieu";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"1";"1";"0"
"France";"5";"1158";"Louise Guillet";"2";"7";"2";"6";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"3";"0";"1";"0";"2";"1";"0"
"France";"4";"1236";"Camelia Bouloukbachi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"France";"8";"1238";"Camille Radosavljevic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"3";"0";"0"
"France";"9";"1162";"Yaëlle Deschampt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"7";"1237";"Juliette Dhalluin";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1";"0";"0"
"France";"10";"1242";"Ema Vernoux";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"11";"1243";"Clemence Clerc";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0"
"France";"12";"1165";"Audrey Daule";"4";"6";"3";"5";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0"
"Slovakia";"1";"1207";"Emoke Kissova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Slovakia";"2";"1206";"Beata Kovacikova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0"
"France";"13";"1166";"Lorène Derenty";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"8"
"Slovakia";"4";"1209";"Lenka Garancovska";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"3";"1208";"Janka Kurucova";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Slovakia";"6";"1211";"Monika Sedlakova";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"5";"1210";"Emma Junasova";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Slovakia";"7";"1212";"Natalia Peckova";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0"
"Slovakia";"8";"1213";"Tamara Kolarova";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"5";"0";"0"
"Slovakia";"9";"1214";"Miroslava Stankovianska";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"4";"0";"0"
"Slovakia";"11";"1216";"Daniela Katlovska";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"4";"1";"0"
"Slovakia";"10";"1215";"Ivana Majlathova";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Slovakia";"12";"1217";"Katarina Kissova";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Slovakia";"13";"1218";"Kristina Horvathova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"10"
