"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"11";"1093";"Izabella Chiappini";"1";"7";"1";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Greece";"1";"1128";"Chrysoula Diamantopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"Italy";"13";"1239";"Fabiana Sparano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"3";"1130";"Vasiliki Diamantopoulou";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Italy";"12";"1094";"Carla Carrega";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"9";"1247";"Christina Kotsia";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"12";"1139";"Eleni Xenaki";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"1";"5";"0"
"Greece";"10";"1248";"Eirini Ninou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Italy";"2";"1083";"Chiara Tabani";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"3";"0";"0";"0";"1";"1";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Italy";"5";"1086";"Elisa Queirolo";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0"
"Greece";"7";"1245";"Maria Myriokefalitaki";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Italy";"6";"1087";"Rosaria Aiello";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0"
"Italy";"7";"1088";"Claudia Marletta";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"Italy";"8";"1090";"Roberta Bianconi";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Italy";"9";"1091";"Giulia Emmolo";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"10";"1092";"Valeria Palmieri";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0"
"Greece";"8";"1246";"Alkistis Christina Benekou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"2";"1129";"Christina Tsoukala";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Greece";"4";"1131";"Nicoleta Eleftheriadou";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"0";"0";"0"
"Italy";"1";"1082";"Giulia Gorlero";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Greece";"6";"1133";"Alkisti Avramidou";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"Greece";"5";"1132";"Margarita Plevritou";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Greece";"11";"1138";"Eleftheria Plevritou";"1";"6";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"Greece";"13";"1140";"Ioanna Stamatopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"3";"1084";"Arianna Garibotti";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0"
