"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"CN Terrassa";"1";"17733";"Jose Motos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Terrassa";"2";"17734";"Albert Sabadell";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Terrassa";"4";"17735";"Daniel Diaz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Terrassa";"5";"357";"Agusti Pericas Eixarch";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Terrassa";"6";"17831";"Pablo De Amos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Terrassa";"7";"17832";"Ignacio Bargallo";"3";"3";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Terrassa";"8";"17739";"Gerard Cuacos";"4";"5";"4";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Terrassa";"9";"17736";"Guillerm Comas";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Terrassa";"11";"359";"Oriol Rodriguez Martinez";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Terrassa";"12";"358";"Jordi Chico Aunos";"3";"3";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Terrassa";"13";"17741";"Ivan Sanchez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Terrassa";"10";"5021";"Marcel Teclas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Sant Andreu";"1";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Sant Andreu";"2";"17769";"Jorrit Aanstoot";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Sant Andreu";"3";"17770";"Pau Campos";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Sant Andreu";"4";"8093";"Matthew Byrnes";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Sant Andreu";"5";"17771";"Carles Nunez";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Sant Andreu";"6";"17772";"Pablo Chmyr";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Sant Andreu";"7";"566";"Guillem Frigola Navarro";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Sant Andreu";"8";"17773";"Aleix Herrero";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"CN Sant Andreu";"9";"17774";"Oscar Montes";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Sant Andreu";"10";"17775";"Ricardo Gracia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Sant Andreu";"11";"17776";"Airam Arizaga";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"CN Sant Andreu";"12";"17777";"Marcus Longton";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CN Sant Andreu";"13";"17778";"Pau Villar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
