"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Real Canoe";"1";"17793";"Adrian Diaz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Real Canoe";"2";"17801";"Enrique Nuno";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Real Canoe";"3";"17796";"Ronen Grosz";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Real Canoe";"4";"17798";"Pedro Ponsa";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Real Canoe";"5";"17797";"Carlos Fernandez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Real Canoe";"6";"18391";"Gonzalo Salgado";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Real Canoe";"7";"17800";"Santiago Barba";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Real Canoe";"8";"5022";"Victor Fernandez Cuesta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Real Canoe";"9";"18397";"Victor Gutierrez";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Real Canoe";"10";"17799";"Mateo Blanco";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Real Canoe";"11";"17794";"Mario Gonzalez";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Real Canoe";"12";"17795";"Ivan Alcon";"5";"5";"2";"2";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Real Canoe";"13";"19818";"Rodrigo Fernandez Vilavedra";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Tenerife Echeyde";"1";"16913";"Diego Malnero";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Tenerife Echeyde";"2";"17749";"Ashworth Molthen";"1";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Tenerife Echeyde";"3";"17757";"Alex Andion";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Tenerife Echeyde";"4";"17750";"Pablo Diaz";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Tenerife Echeyde";"5";"17751";"Iker Gonzalez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Tenerife Echeyde";"6";"17833";"Javier Espinosa Vazquez";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Tenerife Echeyde";"7";"17753";"Mees Keuning";"3";"3";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Tenerife Echeyde";"8";"17834";"Sergio Prunell Gonzalez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Tenerife Echeyde";"9";"17754";"Diego Mercado";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Tenerife Echeyde";"10";"10118";"Marc Salvador Maggana";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Tenerife Echeyde";"11";"17755";"Ferran Soriano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Tenerife Echeyde";"12";"17752";"Ignacio Gutierrez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Tenerife Echeyde";"13";"17758";"Ahmad Perez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
