"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"3";"1290";"Alvaro Granados";"2";"4";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"3";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"Spain";"11";"420";"Unai Biel";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0"
"Spain";"10";"1297";"Felipe Perrone";"2";"5";"1";"2";"0";"0";"0";"2";"0";"0";"1";"1";"3";"0";"1";"0";"0";"0";"2";"0";"0"
"Spain";"2";"1289";"Alberto Munarriz";"3";"5";"1";"2";"1";"1";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0"
"Spain";"7";"410";"Martin Famera";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"10"
"Australia";"9";"8093";"Matthew Byrnes";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"2";"1";"1";"1";"0";"0"
"Australia";"12";"4745";"Blake Edwards";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Australia";"11";"8107";"Chaz Poot";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"2";"1";"0";"0"
"Australia";"10";"15258";"Marcus Berehulak";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Australia";"8";"19482";"Jacob Mercep";"1";"7";"0";"3";"0";"1";"1";"2";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0"
"Australia";"6";"4744";"Lachlan Edwards";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"2";"0"
"Australia";"5";"4749";"Nathan Power";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"0"
"Australia";"4";"8092";"Charlie Negus";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"0";"0"
"Australia";"3";"19481";"Milos Maksimovic";"2";"6";"1";"4";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0"
"Australia";"2";"8097";"Angus Lambie";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Australia";"1";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Australia";"13";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
