"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"11";"2133";"Dusan Matkovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"3";"0";"0"
"Montenegro";"9";"1368";"Djuro Radovic";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"3";"7";"2";"5";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Montenegro";"6";"93";"Vlado Popadic";"2";"4";"0";"1";"2";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"2";"0";"0";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"Montenegro";"4";"109";"Jovan Vujovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"3";"2155";"Miroslav Perkovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"1";"0"
"Montenegro";"2";"2189";"Marko Mrsic";"0";"4";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Croatia";"12";"1410";"Konstantin Kharkov";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0"
"Croatia";"11";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"0";"5";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"1";"3";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0";"0";"1";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"3";"8";"1";"5";"0";"0";"1";"2";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Montenegro";"12";"111";"Vasilije Radovic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
