"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"11";"1347";"Szilard Jansik";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"3";"0";"0"
"Hungary";"9";"4837";"Vince Vigvari";"3";"5";"0";"2";"1";"1";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"3";"2";"0";"1";"0"
"Hungary";"6";"817";"Adam Nagy";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"2";"4";"1";"3";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"1";"0";"0"
"Hungary";"4";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"1";"2";"0";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0"
"Hungary";"1";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"France";"10";"1362";"Michael Bodegas";"3";"5";"2";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"11";"1";"0";"0";"0";"0";"4";"0"
"France";"8";"600";"Emil Bjorch";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"4";"7";"1";"2";"1";"1";"0";"1";"2";"3";"0";"0";"1";"1";"1";"0";"0";"0";"2";"0";"0"
"France";"5";"1305";"Enzo Khasz";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"1";"5";"0";"1";"0";"0";"1";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"13";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"France";"12";"13789";"Enzo Nardon";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"7";"2367";"Gergo Fekete";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Hungary";"8";"1343";"Gergo Zalanki";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
