"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"11";"15268";"Ryder Dodd";"0";"5";"0";"1";"0";"1";"0";"3";"0";"0";"0";"0";"0";"2";"1";"1";"0";"1";"1";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"USA";"9";"18";"Alex Bowen";"2";"4";"2";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"USA";"7";"2220";"Ben Hallock";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"4";"0"
"USA";"6";"498";"Luca Cupido";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"1";"2";"0"
"USA";"5";"2203";"Hannes Daube";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"1";"0";"0";"2";"1";"0";"0"
"USA";"4";"2216";"Alexander Obert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"USA";"3";"2389";"Marko Vavic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0"
"USA";"2";"2386";"Johnny Hooper";"1";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"2";"0";"0";"2";"1";"0";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"8"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"11";"493";"Edoardo Di Somma";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"0"
"Italy";"10";"532";"Lorenzo Bruni";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"2";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"4";"141";"Tommaso Gianazza";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0"
"Italy";"2";"1354";"Francesco Di Fulvio";"2";"4";"2";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"USA";"12";"2205";"Max Irving";"2";"6";"1";"3";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"USA";"13";"2385";"Drew Holland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"3";"1358";"Alessandro Velotto";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0"
"Italy";"12";"6039";"Matteo Iocchi Gratta";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"1";"0";"0"
"Italy";"6";"6037";"Francesco Condemi";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1";"0";"0"
