"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"Romania";"2";"779";"Francesco Iudean";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0"
"Romania";"4";"1399";"Tudor-Andrei Fulea";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"5";"12434";"Andrei-Radu-Ionut Neamtu";"2";"4";"0";"1";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"6";"0";"5";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"3";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Romania";"8";"1401";"Nicolae Oanta";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Romania";"10";"1398";"Vlad-Luca Georgescu";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"3";"2";"0"
"Romania";"11";"17566";"Sebastian Oltean";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"2";"1";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"1";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"1";"2";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"2";"1";"2";"0";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"4";"9";"3";"4";"0";"1";"1";"4";"0";"0";"0";"0";"2";"0";"1";"1";"1";"0";"2";"0";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"1";"5";"1";"3";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0"
"Greece";"4";"867";"Efstathios Kalogeropoulos";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"1";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"1";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"2";"4";"0";"2";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0"
"Greece";"9";"18882";"Nikolaos Papanikolaou";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"1";"0";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
