"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Serbia";"2";"496";"Dusan Mandic";"7";"11";"4";"6";"2";"3";"0";"1";"1";"1";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"1";"0";"1";"1";"0";"0"
"Serbia";"5";"16";"Milos Cuk";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Japan";"11";"4764";"Keigo Okawa";"3";"5";"2";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
"Japan";"10";"4763";"Yusuke Inaba";"6";"8";"1";"2";"2";"2";"2";"2";"1";"2";"0";"0";"2";"4";"2";"1";"0";"1";"4";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"8";"4761";"Mitsuru Takata";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"1";"1";"0"
"Japan";"7";"12174";"Kiyomu Date";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"5";"0";"0";"0";"1";"5";"0";"0"
"Japan";"5";"16615";"Kai Inoue";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Japan";"4";"12171";"Daichi Ogihara";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"2";"5";"0";"1";"1";"1";"1";"2";"0";"1";"0";"0";"3";"2";"0";"0";"2";"2";"1";"0";"0"
"Japan";"2";"4755";"Seiya Adachi";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"2";"0";"0";"1";"0";"0";"0"
"Japan";"1";"4754";"Kastuyuki Tanamura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"13";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"2";"0";"0";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"3";"2";"2";"1";"0";"1";"1";"1";"0"
"Serbia";"7";"438";"Radomir Drasovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Serbia";"6";"190";"Nikola Dedovic";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Japan";"12";"4765";"Kenta Araki";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Japan";"13";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Serbia";"9";"1422";"Nemanja Vico";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"2";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"0"
