"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"13";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"2";"496";"Dusan Mandic";"2";"7";"0";"4";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"0";"6";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Serbia";"5";"16";"Milos Cuk";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"0"
"Serbia";"6";"190";"Nikola Dedovic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0"
"Serbia";"9";"1422";"Nemanja Vico";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"1";"0"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Serbia";"12";"439";"Viktor Rasovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"2";"2";"0"
"Australia";"13";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"8";"19482";"Jacob Mercep";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"10";"15258";"Marcus Berehulak";"0";"4";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Australia";"9";"8093";"Matthew Byrnes";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"1";"1";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Australia";"4";"8092";"Charlie Negus";"1";"6";"1";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
"Australia";"3";"19481";"Milos Maksimovic";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0"
"Australia";"6";"4744";"Lachlan Edwards";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Australia";"12";"4745";"Blake Edwards";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"3";"0";"0"
"Australia";"5";"4749";"Nathan Power";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"3";"1";"0";"0"
"Australia";"7";"12177";"Luke Pavillard";"4";"9";"2";"5";"0";"2";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0"
"Australia";"2";"8097";"Angus Lambie";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0"
"Australia";"1";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8"
"Australia";"11";"8107";"Chaz Poot";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
