"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"2";"1354";"Francesco Di Fulvio";"4";"7";"2";"3";"1";"3";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"2";"0"
"Italy";"3";"1358";"Alessandro Velotto";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Italy";"4";"141";"Tommaso Gianazza";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"2";"4";"0";"1";"0";"0";"1";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"6";"6037";"Francesco Condemi";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"1";"0";"3";"3";"1";"0";"0"
"Italy";"10";"532";"Lorenzo Bruni";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"6";"0";"0";"0";"2";"2";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"1";"3";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Italy";"11";"493";"Edoardo Di Somma";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"3";"0";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"3";"0";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Croatia";"9";"917";"Jerko Marinic Kragic";"1";"3";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"11";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"2";"1";"2";"0"
"Italy";"12";"6039";"Matteo Iocchi Gratta";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"0";"2";"0"
"Croatia";"3";"77";"Loren Fatovic";"2";"6";"1";"2";"0";"1";"1";"3";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Croatia";"12";"1410";"Konstantin Kharkov";"2";"3";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
