"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"2";"1341";"Daniel Angyal";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"1";"7";"1";"5";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"1";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"Hungary";"9";"4837";"Vince Vigvari";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"13";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"2";"1";"0"
"Hungary";"4";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"1";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Hungary";"5";"1344";"Marton Vamos";"1";"2";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"2";"0";"0"
"Hungary";"11";"1347";"Szilard Jansik";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"1";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"1";"0"
"Spain";"11";"420";"Unai Biel";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"0";"1";"1";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0"
"Spain";"7";"410";"Martin Famera";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Spain";"5";"1292";"Miguel de Toro";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"2";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"2";"6";"1";"3";"0";"0";"0";"2";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0"
"Spain";"2";"1289";"Alberto Munarriz";"2";"6";"2";"5";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"1";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"9"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"8";"2367";"Gergo Fekete";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
