"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"12";"13789";"Enzo Nardon";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"France";"10";"1362";"Michael Bodegas";"3";"7";"3";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0"
"France";"8";"600";"Emil Bjorch";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"2";"1";"2";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"4";"2";"3";"1";"0";"0";"0";"1";"0"
"France";"5";"1305";"Enzo Khasz";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"1";"0"
"France";"4";"2380";"Alexandre Bouet";"2";"4";"1";"1";"0";"0";"0";"2";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"2";"0";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Japan";"13";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"7"
"Japan";"12";"4765";"Kenta Araki";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Japan";"11";"4764";"Keigo Okawa";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Japan";"10";"4763";"Yusuke Inaba";"6";"12";"3";"7";"0";"0";"1";"2";"1";"2";"1";"1";"1";"2";"0";"0";"0";"2";"0";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"8";"4761";"Mitsuru Takata";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"0";"0"
"Japan";"7";"12174";"Kiyomu Date";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"1";"0";"0";"1";"3";"0";"0"
"Japan";"5";"16615";"Kai Inoue";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"4";"12171";"Daichi Ogihara";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"1";"8";"1";"6";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"2";"0";"3";"0";"1";"0";"0"
"Japan";"2";"4755";"Seiya Adachi";"3";"5";"1";"3";"0";"0";"1";"1";"1";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"2";"0"
"Japan";"1";"4754";"Kastuyuki Tanamura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"10"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
