"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"2";"1328";"Konstantinos Genidounias";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"3";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Greece";"4";"867";"Efstathios Kalogeropoulos";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"0";"1";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"1";"1";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"2";"6";"1";"4";"0";"0";"1";"2";"0";"0";"0";"0";"3";"3";"0";"0";"0";"1";"0";"0";"0"
"Greece";"9";"18882";"Nikolaos Papanikolaou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"10"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"6"
"Montenegro";"6";"93";"Vlado Popadic";"5";"7";"3";"5";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"9";"1368";"Djuro Radovic";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0";"3";"1";"1";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"1";"7";"1";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"4";"7";"1";"3";"0";"0";"3";"4";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Montenegro";"2";"2189";"Marko Mrsic";"3";"4";"1";"2";"0";"0";"2";"2";"0";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"1";"0"
"Montenegro";"4";"109";"Jovan Vujovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"2";"0"
"Montenegro";"3";"2155";"Miroslav Perkovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"1";"0";"2";"1";"1";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
