"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"USA";"2";"2386";"Johnny Hooper";"2";"5";"1";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0"
"USA";"3";"2389";"Marko Vavic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"USA";"4";"2216";"Alexander Obert";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"1";"0";"1";"0";"0";"0"
"USA";"5";"2203";"Hannes Daube";"3";"3";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"USA";"6";"498";"Luca Cupido";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"4";"0";"0"
"USA";"7";"2220";"Ben Hallock";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"8";"0";"1";"0";"2";"1";"2";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"0";"0";"0"
"USA";"9";"18";"Alex Bowen";"3";"6";"2";"3";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"USA";"11";"15268";"Ryder Dodd";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"2";"0";"0";"1";"0";"1";"0"
"USA";"12";"2205";"Max Irving";"2";"4";"1";"3";"0";"0";"0";"0";"0";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"13";"2385";"Drew Holland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Romania";"2";"779";"Francesco Iudean";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"4";"1399";"Tudor-Andrei Fulea";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"3";"0";"0"
"Romania";"5";"12434";"Andrei-Radu-Ionut Neamtu";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"8";"1401";"Nicolae Oanta";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"3";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0"
"Romania";"10";"1398";"Vlad-Luca Georgescu";"3";"6";"2";"4";"0";"1";"1";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"1";"0"
"Romania";"11";"17566";"Sebastian Oltean";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
