"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Australia";"11";"8107";"Chaz Poot";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Australia";"12";"4745";"Blake Edwards";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Australia";"8";"19482";"Jacob Mercep";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0"
"Australia";"7";"12177";"Luke Pavillard";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1";"1";"1";"1";"2";"0";"0"
"Australia";"6";"4744";"Lachlan Edwards";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0"
"Australia";"5";"4749";"Nathan Power";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Australia";"4";"8092";"Charlie Negus";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Australia";"3";"19481";"Milos Maksimovic";"3";"7";"2";"4";"0";"0";"0";"2";"0";"0";"1";"1";"1";"3";"0";"2";"0";"0";"1";"0";"0"
"Australia";"2";"8097";"Angus Lambie";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Australia";"13";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"1";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Australia";"9";"8093";"Matthew Byrnes";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0"
"France";"10";"1362";"Michael Bodegas";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"4";"0"
"France";"9";"1309";"Mehdi Marzouki";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"France";"8";"600";"Emil Bjorch";"3";"3";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"0";"3";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0"
"France";"5";"1305";"Enzo Khasz";"0";"6";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"3";"6";"1";"3";"0";"0";"2";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2";"1";"0"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"12";"13789";"Enzo Nardon";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"10";"15258";"Marcus Berehulak";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"1";"0"
