"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Japan";"11";"4764";"Keigo Okawa";"1";"5";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Japan";"10";"4763";"Yusuke Inaba";"2";"9";"1";"5";"0";"1";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Japan";"8";"4761";"Mitsuru Takata";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"1";"0";"0"
"Japan";"7";"12174";"Kiyomu Date";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"0";"3";"2";"1";"0"
"Japan";"5";"16615";"Kai Inoue";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Japan";"4";"12171";"Daichi Ogihara";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Japan";"2";"4755";"Seiya Adachi";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
"Japan";"1";"4754";"Kastuyuki Tanamura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"9"
"Hungary";"13";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Hungary";"11";"1347";"Szilard Jansik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Japan";"12";"4765";"Kenta Araki";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"3";"7";"1";"4";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"3";"0";"0"
"Hungary";"9";"4837";"Vince Vigvari";"4";"5";"3";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"1";"2";"0";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"2";"4";"2";"2";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"1";"0"
"Hungary";"4";"4835";"Erik Molnar";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"3";"2";"0";"0";"1";"0";"0";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0"
"Hungary";"1";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"Hungary";"12";"1351";"Balazs Harai";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2";"0"
"Japan";"13";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
"Hungary";"7";"1343";"Gergo Zalanki";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"1";"0";"0"
"Hungary";"8";"2367";"Gergo Fekete";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"3";"2";"0";"0"
