"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"11";"7";"Matias Biljaka";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"1";"0";"1";"0";"2";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"2";"3";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"1";"6";"0";"3";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"1";"0";"3";"0";"2";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"4";"1";"1";"1";"0";"1";"2";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"2";"5";"0";"3";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"0"
"Croatia";"2";"60";"Rino Buric";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"0";"1";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"10"
"Romania";"11";"17566";"Sebastian Oltean";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"Romania";"10";"1398";"Vlad-Luca Georgescu";"1";"6";"0";"4";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"Romania";"8";"1401";"Nicolae Oanta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Romania";"5";"12434";"Andrei-Radu-Ionut Neamtu";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"1";"1";"0"
"Romania";"4";"1399";"Tudor-Andrei Fulea";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
"Romania";"3";"2066";"Matei - Ioan Lutescu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Romania";"2";"779";"Francesco Iudean";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"13";"769";"Eduar-Mihai Dragusin";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
