"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"1289";"Alberto Munarriz";"2";"6";"1";"4";"1";"1";"0";"1";"0";"0";"0";"0";"3";"1";"0";"1";"0";"1";"0";"1";"0"
"Spain";"3";"1290";"Alvaro Granados";"4";"8";"0";"2";"0";"2";"3";"3";"1";"1";"0";"0";"2";"1";"2";"0";"0";"1";"1";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"2";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"2";"0"
"Spain";"10";"1297";"Felipe Perrone";"3";"3";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"2";"2";"0";"0";"0";"1";"0";"0";"0"
"Spain";"11";"420";"Unai Biel";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Spain";"7";"410";"Martin Famera";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"0"
"Serbia";"13";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"3";"0"
"Serbia";"9";"1422";"Nemanja Vico";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0"
"Serbia";"8";"464";"Nikola Jaksic";"2";"5";"0";"2";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"6";"190";"Nikola Dedovic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"5";"16";"Milos Cuk";"2";"5";"1";"3";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"2";"0";"0";"0";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"1";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"1";"0";"0"
"Serbia";"2";"496";"Dusan Mandic";"4";"5";"2";"3";"1";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"1";"0";"3";"0";"0";"0"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Serbia";"12";"439";"Viktor Rasovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"11"
