"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"2";"1341";"Daniel Angyal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"4";"5";"3";"3";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0"
"Hungary";"4";"4835";"Erik Molnar";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"3";"0";"0";"2";"2";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Hungary";"10";"1349";"Denes Varga";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"8";"2367";"Gergo Fekete";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"9";"4837";"Vince Vigvari";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Hungary";"1";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"8"
"Hungary";"11";"1347";"Szilard Jansik";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"1";"5";"0";"2";"1";"1";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0"
"Australia";"13";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"3";"19481";"Milos Maksimovic";"2";"3";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"3";"0";"0"
"Australia";"10";"15258";"Marcus Berehulak";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Australia";"9";"8093";"Matthew Byrnes";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Australia";"5";"4749";"Nathan Power";"2";"6";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0"
"Australia";"12";"4745";"Blake Edwards";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1";"2";"0";"1";"2";"0";"0"
"Australia";"6";"4744";"Lachlan Edwards";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"3";"0";"2";"0"
"Australia";"8";"19482";"Jacob Mercep";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"1";"0"
"Australia";"7";"12177";"Luke Pavillard";"1";"4";"0";"1";"0";"0";"0";"2";"1";"1";"0";"0";"2";"0";"1";"2";"0";"0";"1";"0";"0"
"Australia";"4";"8092";"Charlie Negus";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"0";"0"
"Australia";"2";"8097";"Angus Lambie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Australia";"1";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Australia";"11";"8107";"Chaz Poot";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0"
"Hungary";"13";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
