"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"2";"2386";"Johnny Hooper";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"3";"2";"0";"0";"0"
"USA";"3";"2389";"Marko Vavic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"2";"0";"0"
"USA";"4";"2216";"Alexander Obert";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"0";"1";"0"
"USA";"5";"2203";"Hannes Daube";"5";"7";"0";"2";"0";"0";"2";"2";"3";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"USA";"6";"498";"Luca Cupido";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"4";"1";"1";"0";"1";"3";"1";"0"
"USA";"9";"18";"Alex Bowen";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"USA";"10";"12214";"Chase William Dodd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"USA";"11";"15268";"Ryder Dodd";"2";"4";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"USA";"7";"2220";"Ben Hallock";"2";"3";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"1";"6";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"3";"0";"2";"0";"0";"0"
"Montenegro";"9";"1368";"Djuro Radovic";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Montenegro";"10";"1375";"Vladan Spaic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"3";"0";"0";"0"
"USA";"12";"2205";"Max Irving";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"1";"0";"0";"3";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"3";"9";"3";"6";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"7";"1372";"Stefan Vidovic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Montenegro";"6";"93";"Vlado Popadic";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Montenegro";"4";"109";"Jovan Vujovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"2";"1";"0";"0"
"Montenegro";"3";"2155";"Miroslav Perkovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0"
"Montenegro";"2";"2189";"Marko Mrsic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Montenegro";"13";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Montenegro";"1";"1366";"Dejan Lazovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Montenegro";"11";"2133";"Dusan Matkovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"1";"0";"0";"0"
"USA";"13";"2385";"Drew Holland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
