"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Japan";"2";"4755";"Seiya Adachi";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"5";"1";"0";"0";"2";"0";"0";"0";"0"
"Japan";"4";"12171";"Daichi Ogihara";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Japan";"5";"16615";"Kai Inoue";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"2";"0";"0";"1";"1";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Japan";"8";"4761";"Mitsuru Takata";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"1";"1";"0"
"Japan";"1";"4754";"Kastuyuki Tanamura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"Japan";"10";"4763";"Yusuke Inaba";"6";"9";"2";"4";"0";"1";"2";"2";"1";"1";"1";"1";"3";"1";"0";"0";"0";"1";"1";"0";"0"
"Japan";"11";"4764";"Keigo Okawa";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"1";"0";"0"
"Japan";"7";"12174";"Kiyomu Date";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0"
"Australia";"12";"4745";"Blake Edwards";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"2";"1";"1";"0"
"Australia";"9";"8093";"Matthew Byrnes";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"1";"0";"0"
"Australia";"10";"15258";"Marcus Berehulak";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"0";"0"
"Japan";"12";"4765";"Kenta Araki";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"4";"0";"0";"0";"0";"1";"1";"0"
"Australia";"6";"4744";"Lachlan Edwards";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0"
"Australia";"3";"19481";"Milos Maksimovic";"3";"6";"1";"3";"0";"0";"0";"0";"1";"2";"1";"1";"1";"0";"2";"1";"0";"0";"1";"1";"0"
"Australia";"8";"19482";"Jacob Mercep";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Australia";"7";"12177";"Luke Pavillard";"2";"4";"1";"2";"0";"0";"1";"1";"0";"1";"0";"0";"2";"0";"1";"0";"0";"1";"1";"0";"0"
"Australia";"5";"4749";"Nathan Power";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"2";"0";"0";"3";"1";"0";"0"
"Australia";"4";"8092";"Charlie Negus";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Australia";"2";"8097";"Angus Lambie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Australia";"13";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Australia";"1";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Australia";"11";"8107";"Chaz Poot";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"Japan";"13";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
