"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"2";"2386";"Johnny Hooper";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"2";"3";"1";"2";"0";"0"
"USA";"3";"2389";"Marko Vavic";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"USA";"4";"2216";"Alexander Obert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"0";"1";"0"
"USA";"5";"2203";"Hannes Daube";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0"
"USA";"6";"498";"Luca Cupido";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"2";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"9"
"USA";"9";"18";"Alex Bowen";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"USA";"11";"15268";"Ryder Dodd";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0"
"USA";"7";"2220";"Ben Hallock";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Croatia";"11";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"USA";"12";"2205";"Max Irving";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"2";"0";"1";"3";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"1";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"5";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"0"
"Croatia";"3";"77";"Loren Fatovic";"3";"6";"0";"2";"2";"2";"1";"1";"0";"0";"0";"1";"1";"2";"0";"0";"0";"2";"1";"1";"0"
"Croatia";"2";"60";"Rino Buric";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
"Croatia";"12";"1410";"Konstantin Kharkov";"5";"11";"4";"8";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"USA";"13";"2385";"Drew Holland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
