"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"Italy";"11";"493";"Edoardo Di Somma";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"2";"1";"1";"1";"1";"0"
"Italy";"10";"532";"Lorenzo Bruni";"3";"3";"1";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"2";"0";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Italy";"6";"6037";"Francesco Condemi";"3";"7";"2";"4";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"3";"1358";"Alessandro Velotto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Italy";"2";"1354";"Francesco Di Fulvio";"0";"5";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0";"2";"0";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"2";"0";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"1";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"2";"0"
"Greece";"9";"18882";"Nikolaos Papanikolaou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"4";"8";"1";"3";"1";"1";"2";"3";"0";"1";"0";"0";"2";"1";"0";"1";"0";"1";"2";"0";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"2";"1";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"2";"4";"0";"0";"0";"0";"2";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0"
"Greece";"4";"867";"Efstathios Kalogeropoulos";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"5";"0";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"12";"6039";"Matteo Iocchi Gratta";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"7"
"Italy";"4";"141";"Tommaso Gianazza";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0"
