"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"2";"496";"Dusan Mandic";"5";"8";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"1";"5";"1";"3";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"3";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Serbia";"5";"16";"Milos Cuk";"3";"5";"1";"2";"1";"1";"0";"1";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0"
"Serbia";"6";"190";"Nikola Dedovic";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Serbia";"9";"1422";"Nemanja Vico";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"9";"0";"0";"0";"0";"1";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"3";"0";"0"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Serbia";"12";"439";"Viktor Rasovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0"
"Hungary";"13";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Hungary";"9";"4837";"Vince Vigvari";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"0";"0";"1";"1";"0";"0";"1";"0"
"Hungary";"11";"1347";"Szilard Jansik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"1";"0";"0";"0"
"Serbia";"13";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2"
"Hungary";"8";"2367";"Gergo Fekete";"4";"5";"3";"4";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"4";"6";"4";"5";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Hungary";"6";"817";"Adam Nagy";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"1";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"2";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"2";"1";"4";"1";"0";"1";"0";"0";"0"
"Hungary";"4";"4835";"Erik Molnar";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"2";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"1";"4";"0";"2";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"2";"2";"2";"0"
"Hungary";"2";"1341";"Daniel Angyal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"1";"0"
"Hungary";"1";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Hungary";"12";"1351";"Balazs Harai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"5";"0";"0";"0";"2";"0";"2";"0"
"Serbia";"7";"438";"Radomir Drasovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
