"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"1289";"Alberto Munarriz";"2";"7";"1";"4";"0";"0";"1";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"2";"7";"1";"3";"0";"1";"1";"2";"0";"0";"0";"1";"0";"2";"1";"0";"0";"1";"1";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"2";"4";"0";"1";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"2";"0";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5"
"Spain";"10";"1297";"Felipe Perrone";"1";"4";"0";"2";"0";"1";"1";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0"
"Spain";"11";"420";"Unai Biel";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Spain";"7";"410";"Martin Famera";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"3";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"1";"0"
"Croatia";"11";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"Croatia";"10";"1";"Josip Vrlic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"0";"1";"0";"1";"0";"2";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"2";"0";"1";"0";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"0";"5";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"2";"2";"1";"1";"0";"3";"0";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"2";"5";"1";"1";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"2";"5";"0";"2";"1";"2";"1";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"2";"0";"0"
"Croatia";"2";"60";"Rino Buric";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
