"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"2";"496";"Dusan Mandic";"5";"7";"2";"3";"2";"3";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"1";"0"
"Serbia";"5";"16";"Milos Cuk";"0";"4";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0"
"Serbia";"6";"190";"Nikola Dedovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"2";"0"
"Serbia";"9";"1422";"Nemanja Vico";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"1";"0"
"Serbia";"8";"464";"Nikola Jaksic";"1";"3";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"1";"0";"0";"2";"1";"0";"0"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Serbia";"10";"380";"Nemanja Ubovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"1";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"1";"0"
"Serbia";"12";"439";"Viktor Rasovic";"3";"4";"1";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0"
"Greece";"9";"18882";"Nikolaos Papanikolaou";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"1";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"2";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"1";"6";"0";"4";"0";"0";"0";"1";"1";"1";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"4";"867";"Efstathios Kalogeropoulos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"2";"0";"0";"0"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Greece";"12";"1338";"Angelos Vlachopoulos";"2";"5";"1";"2";"1";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0"
"Serbia";"13";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
