"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"2";"1341";"Daniel Angyal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"6";"11";"3";"5";"0";"1";"1";"3";"2";"2";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0"
"Hungary";"4";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0"
"Hungary";"5";"1344";"Marton Vamos";"1";"4";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"1";"0";"0";"0"
"Hungary";"9";"4837";"Vince Vigvari";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Hungary";"8";"2367";"Gergo Fekete";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Hungary";"1";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Hungary";"10";"1349";"Denes Varga";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"11";"1347";"Szilard Jansik";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"2";"1";"0";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"4";"11";"4";"8";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Italy";"7";"1359";"Vincenzo Renzuto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Italy";"11";"493";"Edoardo Di Somma";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"2";"0";"1";"0"
"Hungary";"12";"1351";"Balazs Harai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1";"0";"1";"0";"1";"0"
"Italy";"10";"532";"Lorenzo Bruni";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"3";"0"
"Italy";"9";"134";"Nicholas Presciutti";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"3";"6";"1";"4";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"0"
"Italy";"6";"6037";"Francesco Condemi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"0";"3";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"4";"141";"Tommaso Gianazza";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Italy";"3";"1358";"Alessandro Velotto";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"2";"1354";"Francesco Di Fulvio";"3";"10";"2";"6";"0";"1";"1";"2";"0";"0";"0";"1";"0";"0";"1";"0";"3";"1";"3";"3";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Italy";"12";"6039";"Matteo Iocchi Gratta";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Hungary";"13";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
