"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Australia";"2";"8097";"Angus Lambie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Australia";"4";"8092";"Charlie Negus";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Australia";"5";"4749";"Nathan Power";"0";"5";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"2";"1";"0"
"Australia";"6";"4744";"Lachlan Edwards";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"2";"1";"0"
"Australia";"9";"8093";"Matthew Byrnes";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"1";"0";"0"
"Australia";"3";"19481";"Milos Maksimovic";"2";"8";"1";"6";"0";"0";"1";"1";"0";"1";"0";"0";"0";"2";"0";"1";"0";"1";"2";"1";"0"
"Australia";"12";"4745";"Blake Edwards";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"1";"0"
"Australia";"1";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Australia";"7";"12177";"Luke Pavillard";"5";"5";"4";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"2";"1";"0";"0"
"Australia";"8";"19482";"Jacob Mercep";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"10";"15258";"Marcus Berehulak";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"USA";"13";"2385";"Drew Holland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"USA";"11";"15268";"Ryder Dodd";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Australia";"11";"8107";"Chaz Poot";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0"
"USA";"9";"18";"Alex Bowen";"3";"8";"0";"4";"0";"0";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0"
"USA";"7";"2220";"Ben Hallock";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"2";"1";"2";"0"
"USA";"6";"498";"Luca Cupido";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"3";"0";"2";"0";"1";"1";"0";"0"
"USA";"5";"2203";"Hannes Daube";"3";"4";"2";"2";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0"
"USA";"4";"2216";"Alexander Obert";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"USA";"3";"2389";"Marko Vavic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"USA";"2";"2386";"Johnny Hooper";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"15"
"USA";"12";"2205";"Max Irving";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"2";"1";"1";"1";"1";"0";"0"
"Australia";"13";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
