"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"2";"60";"Rino Buric";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"1";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"5";"5";"1";"1";"0";"0";"3";"3";"1";"1";"0";"0";"1";"2";"1";"1";"0";"3";"2";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Croatia";"8";"81";"Marko Zuvela";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"1";"1";"2";"1";"3";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"0";"7";"0";"2";"0";"0";"0";"5";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"9"
"Croatia";"11";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"13";"1470";"Mark Banyai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"9";"4837";"Vince Vigvari";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"11";"1347";"Szilard Jansik";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Hungary";"10";"1349";"Denes Varga";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Hungary";"8";"2367";"Gergo Fekete";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"1";"2";"0";"0";"0"
"Hungary";"7";"1343";"Gergo Zalanki";"0";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"1";"1";"0";"1";"2";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0"
"Hungary";"5";"1344";"Marton Vamos";"2";"6";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"2";"2";"2";"0";"0";"1";"0";"0";"0"
"Hungary";"4";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"0";"4";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0"
"Hungary";"2";"1341";"Daniel Angyal";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Hungary";"1";"1352";"Soma Vogel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"9"
"Hungary";"12";"1351";"Balazs Harai";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"2";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
