"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"3";"2389";"Marko Vavic";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0"
"USA";"4";"2216";"Alexander Obert";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0"
"USA";"5";"2203";"Hannes Daube";"0";"5";"0";"2";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"6";"498";"Luca Cupido";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"USA";"11";"15268";"Ryder Dodd";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0"
"USA";"9";"18";"Alex Bowen";"1";"5";"0";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"USA";"10";"12214";"Chase William Dodd";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"14"
"USA";"7";"2220";"Ben Hallock";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"1";"1";"1";"0"
"Serbia";"13";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"3";"4";"1";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Serbia";"11";"1059";"Petar Jaksic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"3";"0";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Serbia";"9";"1422";"Nemanja Vico";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0"
"USA";"12";"2205";"Max Irving";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"2";"2";"3";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"6";"190";"Nikola Dedovic";"4";"5";"1";"1";"0";"1";"3";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
"Serbia";"5";"16";"Milos Cuk";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"1";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"1";"0"
"Serbia";"2";"496";"Dusan Mandic";"0";"6";"0";"4";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"2";"0";"0";"0"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"Serbia";"12";"439";"Viktor Rasovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"13";"2385";"Drew Holland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
