"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"3";"1358";"Alessandro Velotto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Italy";"4";"141";"Tommaso Gianazza";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Italy";"5";"1357";"Andrea Fondelli";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Italy";"6";"6037";"Francesco Condemi";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0"
"Italy";"9";"134";"Nicholas Presciutti";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0"
"Italy";"8";"1360";"Gonzalo Echenique";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0"
"Italy";"2";"1354";"Francesco Di Fulvio";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"1";"1";"1";"0"
"Italy";"10";"532";"Lorenzo Bruni";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"2";"0"
"Italy";"11";"493";"Edoardo Di Somma";"2";"5";"2";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0"
"Italy";"7";"1359";"Vincenzo Renzuto";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"1";"1353";"Marco Del Lungo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Australia";"10";"15258";"Marcus Berehulak";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"2";"2";"0"
"Italy";"12";"6039";"Matteo Iocchi Gratta";"3";"3";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0"
"Australia";"9";"8093";"Matthew Byrnes";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0"
"Australia";"8";"19482";"Jacob Mercep";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0"
"Australia";"7";"12177";"Luke Pavillard";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Australia";"6";"4744";"Lachlan Edwards";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"2";"0"
"Australia";"5";"4749";"Nathan Power";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"2";"0";"0";"0"
"Australia";"4";"8092";"Charlie Negus";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0"
"Australia";"3";"19481";"Milos Maksimovic";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Australia";"2";"8097";"Angus Lambie";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"1";"1";"0";"0"
"Australia";"1";"12175";"Nic Porter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Italy";"13";"1365";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"5"
"Australia";"11";"8107";"Chaz Poot";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Australia";"12";"4745";"Blake Edwards";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0"
"Australia";"13";"12179";"John Hedges";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
