"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"1289";"Alberto Munarriz";"1";"5";"0";"2";"1";"1";"0";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"1";"6";"0";"2";"0";"0";"1";"4";"0";"0";"0";"0";"3";"3";"1";"1";"1";"0";"2";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"3";"8";"2";"6";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"2";"1";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Spain";"10";"1297";"Felipe Perrone";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"8";"2377";"Sergi Cabanas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"3"
"Spain";"11";"420";"Unai Biel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"7";"410";"Martin Famera";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"15"
"Greece";"9";"18882";"Nikolaos Papanikolaou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"1";"0";"1";"1";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"3";"4";"0";"1";"0";"0";"2";"2";"0";"0";"1";"1";"0";"4";"0";"1";"0";"1";"1";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"3";"3";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"1";"0";"2";"0";"2";"0";"0";"0"
"Greece";"8";"1334";"Stylianos Argyropoulos";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"2";"3";"0";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"3";"6";"2";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0"
"Greece";"5";"1331";"Ioannis Fountoulis";"2";"2";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"2";"0";"2";"0";"0";"0"
"Greece";"4";"867";"Efstathios Kalogeropoulos";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"1";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"0";"1";"1";"1";"0";"0"
"Greece";"2";"1328";"Konstantinos Genidounias";"3";"5";"2";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Greece";"12";"1338";"Angelos Vlachopoulos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
