"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"2";"60";"Rino Buric";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0"
"Croatia";"3";"77";"Loren Fatovic";"2";"4";"0";"1";"0";"1";"2";"2";"0";"0";"0";"0";"7";"2";"1";"0";"0";"0";"1";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"5";"166";"Maro Jokovic";"1";"4";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"6";"4";"Luka Bukic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Croatia";"10";"1";"Josip Vrlic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"3";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"3";"9";"1";"5";"1";"1";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Croatia";"1";"484";"Marko Bijac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Croatia";"11";"7";"Matias Biljaka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Croatia";"7";"1064";"Ante Vukicevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Serbia";"13";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"9";"1422";"Nemanja Vico";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"5";"1";"1";"0";"1";"0";"1";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"2";"5";"1";"1";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"3";"0";"1";"0";"0";"0"
"Serbia";"7";"438";"Radomir Drasovic";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"0";"0"
"Serbia";"6";"190";"Nikola Dedovic";"2";"4";"0";"2";"1";"1";"1";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"0";"0"
"Serbia";"5";"16";"Milos Cuk";"3";"6";"1";"4";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"3";"0";"1";"0";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Serbia";"2";"496";"Dusan Mandic";"1";"6";"0";"4";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Serbia";"12";"439";"Viktor Rasovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0"
"Croatia";"13";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
