"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"11";"12366";"Tiziana Raspo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"France";"10";"1238";"Camille Radosavljevic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"France";"9";"1242";"Ema Vernoux";"2";"5";"1";"2";"0";"0";"1";"3";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"2";"0";"0"
"France";"8";"12094";"Aurelie Battu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"1";"5";"3";"0"
"France";"7";"1237";"Juliette Dhalluin";"3";"6";"1";"2";"0";"1";"1";"2";"1";"1";"0";"0";"1";"2";"2";"0";"0";"1";"1";"0";"0"
"France";"6";"16937";"Orsolya Hertzka";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"2";"1";"0"
"France";"5";"1158";"Louise Guillet";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"4";"1236";"Camelia Bouloukbachi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"France";"3";"12364";"Valentine Heurtaux";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"16940";"Lara Andres";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"1";"16936";"Mia Rycraw";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"9"
"Spain";"7";"4780";"Elena Ruiz";"4";"6";"2";"3";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"6";"1150";"Paula Crespí";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"1";"0";"0"
"Spain";"5";"12098";"Nona Perez";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"4";"1144";"Bea Ortiz";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"3";"1143";"Anni Espar";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"3";"2";"0";"0";"0"
"Spain";"2";"17638";"Isabel Piralkova";"3";"5";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"13";"12101";"Martina Terre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5"
"Spain";"1";"1141";"Laura Ester";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"France";"12";"1165";"Audrey Daule";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0"
"France";"13";"16939";"Pasiphae Martineaud-Peret";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"8";"1148";"Pili Pena";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"2";"0";"0"
"Spain";"9";"1149";"Judith Forca";"0";"4";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"5";"2";"0";"0";"0";"0";"1";"0";"0"
"Spain";"10";"12100";"Paula Camus";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"2";"0"
"Spain";"11";"1151";"Maica García";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"6";"1";"0";"0";"1";"1";"0";"0"
"Spain";"12";"1152";"Paula Leiton";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"1";"2";"0"
