"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"11";"14157";"Emily Ausmus";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"USA";"10";"4657";"Kaleigh Gilchrist";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0"
"USA";"9";"14156";"Jewel Roemer";"1";"6";"0";"4";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0"
"USA";"8";"12309";"Ryann Neushul";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"2";"0";"0";"0"
"USA";"7";"12046";"Jordan Raney";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"1";"2";"0";"0"
"USA";"6";"4653";"Maggie Steffens";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"3";"2";"1";"0";"0";"1";"2";"0";"0"
"USA";"5";"14159";"Jenna Flynn";"4";"6";"3";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"USA";"4";"4651";"Rachel Fattal";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"3";"2";"0";"0";"0"
"USA";"3";"12042";"Tara Prentice";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"5";"0";"0";"0";"1";"1";"1";"0"
"USA";"2";"4649";"Maddie Musselman";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"USA";"1";"4647";"Ashleigh Johnson";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"11"
"Greece";"13";"1140";"Ioanna Stamatopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Greece";"12";"1245";"Maria Myriokefalitaki";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"11";"12050";"Athina Giannopoulou";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Greece";"10";"12049";"Vasiliki Plevritou";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Greece";"9";"1248";"Eirini Ninou";"1";"5";"0";"2";"0";"1";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Greece";"8";"1136";"Maria Patra";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0"
"Greece";"7";"1134";"Alexandra Asimaki";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0"
"Greece";"6";"1139";"Eleni Xenaki";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1";"1";"0";"0"
"Greece";"5";"1132";"Margarita Plevritou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Greece";"4";"1131";"Nicoleta Eleftheriadou";"1";"7";"0";"3";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"1";"0";"0"
"Greece";"3";"1135";"Ioanna Chydirioti";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Greece";"2";"1138";"Eleftheria Plevritou";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0";"0"
"Greece";"1";"1128";"Chrysoula Diamantopoulou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
"USA";"12";"16952";"Jovana Sekulic";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"USA";"13";"4648";"Amanda Longan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
