"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"2";"1119";"Iris Wolves";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
"Netherlands";"3";"1126";"Brigitte Sleeking";"1";"4";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"4";"1";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"3";"4";"2";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0";"1";"0"
"Netherlands";"5";"1233";"Maartje Keuning";"3";"3";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Netherlands";"6";"1234";"Simone van de Kraats";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"4";"1";"1";"0";"0"
"Netherlands";"10";"16884";"Lieke Rogge";"2";"5";"0";"2";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"1";"0"
"Netherlands";"9";"1123";"Kitty-Lynn Joustra";"2";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"2";"0";"0";"0";"2";"1";"1";"0"
"Netherlands";"1";"1115";"Laura Aarts";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"7"
"Netherlands";"11";"12126";"Lola Moolhuijzen";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"7";"1121";"Bente Rogge";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"China";"13";"4702";"Yineng Shen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"China";"9";"4698";"Zewen Deng";"2";"5";"1";"3";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0"
"China";"11";"4700";"Xiao Chen";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"China";"10";"16892";"Sanfeng Nong";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"2";"2";"0";"1";"1";"0";"0"
"Netherlands";"12";"12132";"Nina Ten Broek";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"China";"8";"4697";"Huan Wang";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"China";"7";"4696";"Yiwen Lu";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"2";"0";"0"
"China";"6";"16894";"Xuan Wang";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"1";"0";"0"
"China";"5";"16898";"Qiyun Zhong";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"China";"4";"4693";"Dunhan Xiong";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"2";"1";"0"
"China";"3";"16895";"Jing Yan";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0"
"China";"2";"16896";"Siya Yan";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"China";"1";"16891";"Wenxin Dong";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"China";"12";"4701";"Jing Zhang";"2";"3";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
"Netherlands";"13";"12134";"Sarah Buis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
