"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"17638";"Isabel Piralkova";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"3";"1143";"Anni Espar";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"4";"1";"0";"0";"0";"3";"1";"0";"0"
"Spain";"4";"1144";"Bea Ortiz";"5";"8";"1";"4";"1";"1";"2";"2";"1";"1";"0";"0";"2";"0";"2";"1";"2";"1";"0";"0";"0"
"Spain";"5";"12098";"Nona Perez";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"1";"0"
"Spain";"6";"1150";"Paula Crespí";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"10";"12100";"Paula Camus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Spain";"8";"1148";"Pili Pena";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Spain";"9";"1149";"Judith Forca";"1";"5";"1";"4";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Spain";"1";"1141";"Laura Ester";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"11";"1151";"Maica García";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"1";"0";"0"
"Spain";"7";"4780";"Elena Ruiz";"1";"5";"1";"4";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"2";"0";"0";"0"
"USA";"13";"4648";"Amanda Longan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"9";"14156";"Jewel Roemer";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"11";"14157";"Emily Ausmus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"10";"4657";"Kaleigh Gilchrist";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"12";"1152";"Paula Leiton";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"2";"0";"0"
"USA";"8";"12309";"Ryann Neushul";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"USA";"7";"12046";"Jordan Raney";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0"
"USA";"6";"4653";"Maggie Steffens";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"1";"3";"1";"0";"0";"1";"0";"0";"0"
"USA";"5";"14159";"Jenna Flynn";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"4";"4651";"Rachel Fattal";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"1";"3";"0";"0";"2";"2";"2";"1";"0"
"USA";"3";"12042";"Tara Prentice";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"3";"1";"0"
"USA";"2";"4649";"Maddie Musselman";"1";"4";"0";"1";"0";"0";"0";"1";"1";"2";"0";"0";"3";"3";"0";"0";"0";"1";"2";"0";"0"
"USA";"1";"4647";"Ashleigh Johnson";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"USA";"12";"16952";"Jovana Sekulic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"1";"0"
"Spain";"13";"12101";"Martina Terre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7"
