"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"2";"4649";"Maddie Musselman";"3";"6";"2";"5";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0"
"USA";"3";"12042";"Tara Prentice";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"2";"0";"0"
"USA";"4";"4651";"Rachel Fattal";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"1";"0"
"USA";"5";"14159";"Jenna Flynn";"1";"4";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"USA";"6";"4653";"Maggie Steffens";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"4";"1";"0";"0";"0";"1";"2";"0";"0"
"USA";"10";"4657";"Kaleigh Gilchrist";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"2";"0";"0"
"USA";"8";"12309";"Ryann Neushul";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"USA";"9";"14156";"Jewel Roemer";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0"
"USA";"1";"4647";"Ashleigh Johnson";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"12"
"USA";"11";"14157";"Emily Ausmus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"USA";"7";"12046";"Jordan Raney";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"1";"0"
"Italy";"13";"12161";"Caterina Banchelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Italy";"10";"1088";"Claudia Marletta";"2";"5";"1";"3";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Italy";"11";"12419";"Agnese Cocchiere";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
"Italy";"9";"1092";"Valeria Palmieri";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"1";"0"
"USA";"12";"16952";"Jovana Sekulic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"1";"0"
"Italy";"8";"1090";"Roberta Bianconi";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"2";"0";"0";"3";"0";"0";"0"
"Italy";"7";"1089";"Domitilla Picozzi";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"1";"0"
"Italy";"6";"12417";"Dafne Bettini";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"1";"0"
"Italy";"5";"12158";"Sofia Giustini";"1";"4";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Italy";"3";"12159";"Guiditta Galardi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"Italy";"2";"1083";"Chiara Tabani";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Italy";"1";"12420";"Aurora Giuseppina Condorelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"12";"12160";"Giulia Viacava";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"USA";"13";"4648";"Amanda Longan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
