"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Australia";"12";"19480";"Danijela Jackovich";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Australia";"11";"12120";"Tilly Kearns";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"4";"0";"0";"0";"1";"2";"2";"0"
"Australia";"10";"14164";"Alice Williams";"3";"10";"1";"7";"0";"0";"0";"1";"2";"2";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Australia";"9";"4718";"Zoe Arancini";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Australia";"8";"8225";"Sienna Hearn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"7";"12119";"Charlize Andrews";"1";"4";"0";"2";"0";"0";"0";"1";"0";"0";"1";"1";"0";"2";"0";"0";"0";"0";"2";"0";"0"
"Australia";"3";"4719";"Elle Armit";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"1";"0"
"Australia";"5";"8053";"Sienna Green";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Australia";"4";"4722";"Bronte Halligan";"3";"5";"1";"3";"0";"0";"0";"0";"2";"2";"0";"0";"2";"2";"6";"1";"2";"1";"1";"1";"0"
"Australia";"13";"12122";"Genevieve Longman";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Australia";"2";"4721";"Keesja Gofers";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Australia";"1";"4716";"Gabriella Palm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6"
"Australia";"6";"4717";"Abby Andrews";"1";"6";"1";"4";"0";"0";"0";"2";"0";"0";"0";"0";"1";"4";"0";"0";"0";"2";"2";"0";"0"
"Canada";"1";"12162";"Jessica Gaudreault";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11"
"Canada";"2";"12167";"Rae Lekness";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Canada";"3";"4706";"Axelle Crevier";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2";"1";"2";"0";"0"
"Canada";"4";"4714";"Emma Wright";"3";"5";"1";"3";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"1";"3";"1";"0"
"Canada";"5";"14149";"Maria Mimides";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"Canada";"6";"14150";"Blaire McDowell";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Canada";"7";"12165";"Verica Bakoc";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Canada";"8";"4709";"Elyse Lemay-Lavoie";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"3";"0";"0"
"Canada";"9";"4711";"Hayley McKelvey";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0"
"Canada";"10";"16887";"Serena Browne";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"3";"2";"0";"0"
"Canada";"11";"4712";"Kindred Paul";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Canada";"12";"4708";"Shae la Roche";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"1";"0";"2";"0";"0";"0"
"Canada";"13";"4703";"Clara Vulpisi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
