"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"4687";"Alda Magyari";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Hungary";"13";"14173";"Boglarka Neszmely";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"10";"1078";"Natasa Rybanska";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"Hungary";"8";"1072";"Rita Keszthelyi";"7";"9";"3";"5";"0";"0";"1";"1";"3";"3";"0";"0";"1";"2";"0";"1";"0";"0";"1";"0";"0"
"Hungary";"2";"1066";"Dorottya Szilagyi";"3";"5";"1";"2";"0";"0";"2";"3";"0";"0";"0";"0";"3";"0";"1";"1";"1";"2";"1";"0";"0"
"Hungary";"3";"1077";"Vanda Valyi";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"3";"1";"1";"0";"0"
"Hungary";"4";"1068";"Greta Gurisatti";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"5";"12019";"Geraldine Mahieu";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0"
"Hungary";"12";"1076";"Krisztina Garda";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"6";"1067";"Rebecca Parkes";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"7";"0";"1";"0";"0";"3";"1";"0"
"Hungary";"7";"1070";"Brigitta Horvath";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"9";"1073";"Dora Leimeter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"11";"12018";"Kamilla Farago";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0"
"China";"1";"16891";"Wenxin Dong";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"China";"2";"16896";"Siya Yan";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"China";"3";"16895";"Jing Yan";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"0";"0"
"China";"4";"4693";"Dunhan Xiong";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"1";"1";"0"
"China";"5";"16898";"Qiyun Zhong";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"China";"6";"16894";"Xuan Wang";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"China";"7";"4696";"Yiwen Lu";"3";"6";"2";"4";"0";"0";"1";"2";"0";"0";"0";"0";"2";"1";"1";"0";"0";"1";"1";"0";"0"
"China";"8";"4697";"Huan Wang";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0"
"China";"9";"4698";"Zewen Deng";"3";"9";"1";"5";"0";"0";"2";"4";"0";"0";"0";"0";"3";"0";"2";"0";"0";"1";"1";"0";"0"
"China";"10";"16892";"Sanfeng Nong";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"China";"11";"4700";"Xiao Chen";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0";"0"
"China";"12";"4701";"Jing Zhang";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"2";"0";"3";"2";"0";"0"
"China";"13";"4702";"Yineng Shen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3"
