"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"2";"16940";"Lara Andres";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"France";"3";"12364";"Valentine Heurtaux";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"4";"1236";"Camelia Bouloukbachi";"0";"6";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"France";"5";"1158";"Louise Guillet";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"France";"6";"16937";"Orsolya Hertzka";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0"
"France";"10";"1238";"Camille Radosavljevic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"0";"0";"0"
"France";"8";"12094";"Aurelie Battu";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"8";"1";"0"
"France";"9";"1242";"Ema Vernoux";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"France";"1";"16936";"Mia Rycraw";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"8"
"France";"11";"12366";"Tiziana Raspo";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"7";"1237";"Juliette Dhalluin";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"USA";"12";"16952";"Jovana Sekulic";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"0"
"USA";"8";"12309";"Ryann Neushul";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"1";"0";"0";"2";"0";"0";"0"
"USA";"10";"4657";"Kaleigh Gilchrist";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"USA";"9";"14156";"Jewel Roemer";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"France";"12";"1165";"Audrey Daule";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"7";"12046";"Jordan Raney";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0";"1";"0";"0";"0"
"USA";"6";"4653";"Maggie Steffens";"1";"2";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"5";"3";"0";"0";"0";"0";"1";"0";"0"
"USA";"5";"14159";"Jenna Flynn";"3";"5";"1";"2";"0";"0";"1";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"USA";"4";"4651";"Rachel Fattal";"2";"5";"1";"3";"0";"0";"1";"1";"0";"1";"0";"0";"1";"2";"0";"0";"4";"1";"0";"0";"0"
"USA";"3";"12042";"Tara Prentice";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0"
"USA";"2";"4649";"Maddie Musselman";"4";"5";"2";"3";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"USA";"13";"4648";"Amanda Longan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"USA";"1";"4647";"Ashleigh Johnson";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"USA";"11";"14157";"Emily Ausmus";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"1";"1";"0";"0"
"France";"13";"16939";"Pasiphae Martineaud-Peret";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
