"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Netherlands";"2";"1119";"Iris Wolves";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Netherlands";"3";"1126";"Brigitte Sleeking";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"2";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Netherlands";"5";"1233";"Maartje Keuning";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"3";"0";"1";"0";"1";"0"
"Netherlands";"6";"1234";"Simone van de Kraats";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"2";"0";"4";"1";"0";"0";"0"
"Netherlands";"7";"1121";"Bente Rogge";"1";"6";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0"
"Netherlands";"9";"1123";"Kitty-Lynn Joustra";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Netherlands";"10";"16884";"Lieke Rogge";"5";"6";"2";"3";"0";"0";"2";"2";"1";"1";"0";"0";"1";"3";"0";"0";"0";"1";"1";"0";"0"
"Netherlands";"1";"1115";"Laura Aarts";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Netherlands";"11";"12126";"Lola Moolhuijzen";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"1";"0";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Canada";"13";"4703";"Clara Vulpisi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5"
"Canada";"9";"4711";"Hayley McKelvey";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Canada";"11";"4712";"Kindred Paul";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"1";"0";"0";"1";"1";"0";"0"
"Canada";"10";"16887";"Serena Browne";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"2";"0";"0"
"Netherlands";"12";"12132";"Nina Ten Broek";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Canada";"8";"4709";"Elyse Lemay-Lavoie";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Canada";"7";"12165";"Verica Bakoc";"3";"7";"2";"4";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Canada";"6";"14150";"Blaire McDowell";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Canada";"5";"14149";"Maria Mimides";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"1";"0"
"Canada";"4";"4714";"Emma Wright";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0"
"Canada";"3";"4706";"Axelle Crevier";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"1";"0"
"Canada";"2";"12167";"Rae Lekness";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Canada";"1";"12162";"Jessica Gaudreault";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Canada";"12";"4708";"Shae la Roche";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Netherlands";"13";"12134";"Sarah Buis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3"
