"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Hungary";"1";"4687";"Alda Magyari";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"7"
"Hungary";"4";"1068";"Greta Gurisatti";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0"
"Hungary";"5";"12019";"Geraldine Mahieu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"3";"1";"0"
"Hungary";"6";"1067";"Rebecca Parkes";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"2";"0";"0";"1";"3";"2";"0"
"Hungary";"10";"1078";"Natasa Rybanska";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Hungary";"9";"1073";"Dora Leimeter";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"1";"0";"0"
"Hungary";"8";"1072";"Rita Keszthelyi";"4";"6";"2";"2";"0";"1";"0";"1";"2";"2";"0";"0";"2";"0";"0";"0";"0";"0";"2";"1";"0"
"Hungary";"11";"12018";"Kamilla Farago";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"12";"1076";"Krisztina Garda";"2";"7";"2";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Hungary";"13";"14173";"Boglarka Neszmely";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"7";"1070";"Brigitta Horvath";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Australia";"11";"12120";"Tilly Kearns";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"0";"0";"0";"0";"5";"1";"0"
"Australia";"10";"14164";"Alice Williams";"5";"7";"3";"3";"0";"1";"1";"2";"1";"1";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"Australia";"9";"4718";"Zoe Arancini";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Australia";"8";"8053";"Sienna Green";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Australia";"7";"12119";"Charlize Andrews";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Australia";"3";"4719";"Elle Armit";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Australia";"5";"8225";"Sienna Hearn";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Australia";"4";"4722";"Bronte Halligan";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0"
"Australia";"12";"19480";"Danijela Jackovich";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Australia";"2";"4721";"Keesja Gofers";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Australia";"1";"4716";"Gabriella Palm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"10"
"Australia";"6";"4717";"Abby Andrews";"2";"5";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"1";"1";"0";"0"
"Australia";"13";"12122";"Genevieve Longman";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"2";"1066";"Dorottya Szilagyi";"4";"5";"2";"3";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
"Hungary";"3";"1077";"Vanda Valyi";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"1";"0";"0"
