"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"3";"1143";"Anni Espar";"3";"4";"1";"1";"0";"0";"1";"2";"1";"1";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0"
"Spain";"4";"1144";"Bea Ortiz";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"5";"12098";"Nona Perez";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Spain";"6";"1150";"Paula Crespí";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Spain";"7";"4780";"Elena Ruiz";"2";"6";"1";"5";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"1";"1";"0";"0"
"Spain";"9";"1149";"Judith Forca";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Spain";"10";"12100";"Paula Camus";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Spain";"2";"17638";"Isabel Piralkova";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"1";"1141";"Laura Ester";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Spain";"11";"1151";"Maica García";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"8";"0";"1";"0";"0";"3";"2";"0"
"Spain";"8";"1148";"Pili Pena";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"13";"12161";"Caterina Banchelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Italy";"9";"1092";"Valeria Palmieri";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"1";"1";"0"
"Italy";"11";"12419";"Agnese Cocchiere";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"2";"0";"1";"0"
"Italy";"10";"1088";"Claudia Marletta";"3";"6";"1";"2";"0";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"12";"1152";"Paula Leiton";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"1";"0"
"Italy";"8";"1090";"Roberta Bianconi";"2";"5";"0";"3";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Italy";"7";"1089";"Domitilla Picozzi";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"1";"1";"1";"0";"0";"2";"0";"1";"0"
"Italy";"6";"12417";"Dafne Bettini";"2";"8";"1";"7";"0";"0";"1";"1";"0";"0";"0";"0";"4";"0";"0";"0";"1";"1";"0";"0";"0"
"Italy";"5";"12158";"Sofia Giustini";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"5";"0";"1";"0";"0";"1";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Italy";"3";"12159";"Guiditta Galardi";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"Italy";"2";"1083";"Chiara Tabani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Italy";"1";"12420";"Aurora Giuseppina Condorelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"12";"12160";"Giulia Viacava";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"13";"12101";"Martina Terre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
