"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"2";"4649";"Maddie Musselman";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"USA";"3";"12042";"Tara Prentice";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0"
"USA";"4";"4651";"Rachel Fattal";"1";"4";"0";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"USA";"5";"14159";"Jenna Flynn";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"6";"4653";"Maggie Steffens";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"5";"1";"2";"0";"0";"3";"2";"0"
"USA";"8";"12309";"Ryann Neushul";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"0";"0"
"USA";"1";"4647";"Ashleigh Johnson";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"17"
"USA";"9";"14156";"Jewel Roemer";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0"
"USA";"10";"4657";"Kaleigh Gilchrist";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"USA";"11";"14157";"Emily Ausmus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"USA";"7";"12046";"Jordan Raney";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Hungary";"13";"14173";"Boglarka Neszmely";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"11";"12018";"Kamilla Farago";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"3";"0";"0";"2";"0";"0";"0"
"USA";"12";"16952";"Jovana Sekulic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Hungary";"10";"1078";"Natasa Rybanska";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
"Hungary";"9";"1073";"Dora Leimeter";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0"
"Hungary";"8";"1072";"Rita Keszthelyi";"1";"7";"0";"3";"0";"2";"0";"1";"0";"0";"1";"1";"1";"2";"0";"0";"0";"1";"0";"2";"0"
"Hungary";"7";"1070";"Brigitta Horvath";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"6";"1067";"Rebecca Parkes";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"5";"12019";"Geraldine Mahieu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0"
"Hungary";"4";"1068";"Greta Gurisatti";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Hungary";"3";"1077";"Vanda Valyi";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"0";"0";"0"
"Hungary";"2";"1066";"Dorottya Szilagyi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Hungary";"1";"4687";"Alda Magyari";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"7"
"Hungary";"12";"1076";"Krisztina Garda";"1";"10";"1";"7";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"13";"4648";"Amanda Longan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
