"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"10";"1088";"Claudia Marletta";"3";"8";"2";"6";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Italy";"9";"1092";"Valeria Palmieri";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"1";"0"
"Italy";"8";"1090";"Roberta Bianconi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"4";"0";"0"
"Italy";"7";"1089";"Domitilla Picozzi";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Italy";"6";"12417";"Dafne Bettini";"2";"7";"1";"3";"0";"0";"0";"3";"0";"0";"1";"1";"1";"0";"3";"0";"2";"2";"0";"0";"0"
"Italy";"5";"12158";"Sofia Giustini";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"3";"12159";"Guiditta Galardi";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0"
"Italy";"2";"1083";"Chiara Tabani";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"13";"12161";"Caterina Banchelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"7"
"Italy";"1";"12420";"Aurora Giuseppina Condorelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"13";"12134";"Sarah Buis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Netherlands";"11";"12126";"Lola Moolhuijzen";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"Italy";"11";"12419";"Agnese Cocchiere";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"10";"16884";"Lieke Rogge";"2";"6";"1";"3";"1";"2";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"4";"0";"0"
"Netherlands";"9";"1123";"Kitty-Lynn Joustra";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"3";"0";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"2";"4";"1";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"2";"0";"0"
"Netherlands";"7";"1121";"Bente Rogge";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"1";"0"
"Netherlands";"6";"1234";"Simone van de Kraats";"2";"4";"0";"1";"0";"0";"2";"3";"0";"0";"0";"0";"0";"1";"2";"0";"2";"0";"0";"0";"0"
"Netherlands";"5";"1233";"Maartje Keuning";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"2";"0";"1";"0";"0";"0";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0";"0";"0"
"Netherlands";"3";"1126";"Brigitte Sleeking";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Netherlands";"2";"1119";"Iris Wolves";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"2";"0"
"Netherlands";"1";"1115";"Laura Aarts";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Netherlands";"12";"12132";"Nina Ten Broek";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"Italy";"12";"12160";"Giulia Viacava";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
