"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"12";"12160";"Giulia Viacava";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Italy";"11";"12419";"Agnese Cocchiere";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Italy";"10";"1088";"Claudia Marletta";"2";"4";"0";"0";"0";"0";"1";"3";"0";"0";"1";"1";"1";"0";"3";"0";"0";"2";"2";"0";"0"
"Italy";"9";"1092";"Valeria Palmieri";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"0"
"Italy";"8";"1090";"Roberta Bianconi";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Italy";"7";"1089";"Domitilla Picozzi";"1";"4";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"1";"1";"0";"2";"0";"0";"0"
"Italy";"6";"12417";"Dafne Bettini";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"2";"2";"4";"0";"0";"0";"0"
"Italy";"5";"12158";"Sofia Giustini";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0"
"Italy";"3";"12159";"Guiditta Galardi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"2";"0"
"Italy";"2";"1083";"Chiara Tabani";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Italy";"1";"12420";"Aurora Giuseppina Condorelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"13";"12161";"Caterina Banchelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"11"
"Canada";"1";"12162";"Jessica Gaudreault";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8"
"Canada";"2";"12167";"Rae Lekness";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Canada";"3";"4706";"Axelle Crevier";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0"
"Canada";"4";"4714";"Emma Wright";"1";"4";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0"
"Canada";"5";"14149";"Maria Mimides";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Canada";"6";"14150";"Blaire McDowell";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Canada";"7";"12165";"Verica Bakoc";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Canada";"8";"4709";"Elyse Lemay-Lavoie";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"2";"2";"1";"0"
"Canada";"9";"4711";"Hayley McKelvey";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"2";"1";"0"
"Canada";"10";"16887";"Serena Browne";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Canada";"11";"4712";"Kindred Paul";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0"
"Canada";"12";"4708";"Shae la Roche";"0";"3";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"1";"0"
"Canada";"13";"4703";"Clara Vulpisi";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
