"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"11";"1151";"Maica García";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"1";"0"
"Spain";"10";"12100";"Paula Camus";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Spain";"9";"1149";"Judith Forca";"5";"8";"2";"3";"0";"0";"3";"5";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0"
"Spain";"8";"1148";"Pili Pena";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"7";"4780";"Elena Ruiz";"6";"9";"5";"7";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"2";"0";"0";"0"
"Spain";"6";"1150";"Paula Crespí";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"5";"12098";"Nona Perez";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Spain";"4";"1144";"Bea Ortiz";"2";"5";"1";"3";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"3";"1143";"Anni Espar";"1";"5";"1";"5";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"1";"3";"0";"0";"0"
"Spain";"2";"17638";"Isabel Piralkova";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"1";"1141";"Laura Ester";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"13";"12134";"Sarah Buis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Netherlands";"11";"12126";"Lola Moolhuijzen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"12";"1152";"Paula Leiton";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"Netherlands";"10";"16884";"Lieke Rogge";"3";"6";"2";"4";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"2";"0";"0"
"Netherlands";"9";"1123";"Kitty-Lynn Joustra";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"1";"0";"0"
"Netherlands";"8";"1122";"Vivian Sevenich";"2";"4";"0";"2";"0";"0";"2";"2";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"3";"2";"0"
"Netherlands";"7";"1121";"Bente Rogge";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"3";"0";"0";"0"
"Netherlands";"6";"1234";"Simone van de Kraats";"5";"8";"2";"3";"0";"0";"3";"4";"0";"1";"0";"0";"1";"0";"0";"3";"3";"0";"1";"0";"0"
"Netherlands";"5";"1233";"Maartje Keuning";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"Netherlands";"4";"1118";"Sabrina van der Sloot";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0"
"Netherlands";"3";"1126";"Brigitte Sleeking";"1";"4";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"Netherlands";"2";"1119";"Iris Wolves";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Netherlands";"1";"1115";"Laura Aarts";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"Netherlands";"12";"12132";"Nina Ten Broek";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"13";"12101";"Martina Terre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"7"
