"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Italy";"11";"12419";"Agnese Cocchiere";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"0"
"Italy";"10";"1088";"Claudia Marletta";"3";"7";"0";"2";"0";"0";"3";"5";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"1";"0"
"Italy";"9";"1092";"Valeria Palmieri";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"3";"0"
"Italy";"8";"1090";"Roberta Bianconi";"3";"5";"2";"2";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Italy";"7";"1089";"Domitilla Picozzi";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"3";"0";"0";"0"
"Italy";"6";"12417";"Dafne Bettini";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0";"0"
"Italy";"5";"12158";"Sofia Giustini";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Italy";"4";"1085";"Silvia Avegno";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"2";"0";"2";"1";"0";"0"
"Italy";"3";"12159";"Guiditta Galardi";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"1";"1";"1";"0"
"Italy";"2";"1083";"Chiara Tabani";"0";"6";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0";"0"
"Italy";"1";"12420";"Aurora Giuseppina Condorelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"13";"14173";"Boglarka Neszmely";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"11";"12018";"Kamilla Farago";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Italy";"12";"12160";"Giulia Viacava";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Hungary";"10";"1078";"Natasa Rybanska";"1";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"3";"0";"0";"0"
"Hungary";"9";"1073";"Dora Leimeter";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0"
"Hungary";"8";"1072";"Rita Keszthelyi";"3";"8";"2";"2";"0";"1";"0";"3";"1";"2";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0"
"Hungary";"7";"1070";"Brigitta Horvath";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"Hungary";"6";"1067";"Rebecca Parkes";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"10";"0";"1";"0";"0";"0";"2";"0"
"Hungary";"5";"12019";"Geraldine Mahieu";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0"
"Hungary";"4";"1068";"Greta Gurisatti";"4";"5";"2";"2";"0";"0";"2";"3";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"2";"1";"0"
"Hungary";"3";"1077";"Vanda Valyi";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"1";"1";"3";"1";"1";"0";"0"
"Hungary";"2";"1066";"Dorottya Szilagyi";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Hungary";"1";"4687";"Alda Magyari";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Hungary";"12";"1076";"Krisztina Garda";"3";"6";"2";"3";"0";"0";"1";"3";"0";"0";"0";"0";"3";"0";"0";"2";"0";"2";"0";"0";"0"
"Italy";"13";"12161";"Caterina Banchelli";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"7"
