"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"2";"14362";"Oscar Blasco";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"3";"8";"1";"4";"0";"0";"0";"1";"2";"2";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"4";"7";"1";"4";"0";"0";"3";"3";"0";"0";"0";"0";"2";"3";"3";"0";"0";"0";"2";"0";"0"
"Spain";"5";"596";"Pol Daura Gomez";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"1";"4";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"7";"582";"Marc Valls Ferrer";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"Spain";"8";"12362";"Fran Valera";"0";"6";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0"
"Spain";"10";"595";"Max Casabella Belles";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"1";"1";"0"
"Spain";"11";"420";"Unai Biel";"1";"4";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"2";"0";"0"
"France";"14";"17421";"Kilian Braise Fernandez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"France";"12";"17401";"Jean-Baptiste Carpentras";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"1";"0";"0"
"Spain";"12";"5018";"Oscar Asensio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"1";"0"
"France";"11";"13787";"Mathis Mas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"2";"0"
"France";"10";"13789";"Enzo Nardon";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"1";"0"
"France";"9";"1303";"Romain Marion-Vernoux";"2";"3";"0";"0";"0";"0";"2";"3";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0"
"France";"8";"604";"Denis Guerin";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"France";"7";"998";"Alexis Drahe";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"3";"6";"2";"5";"0";"0";"1";"1";"0";"0";"0";"0";"1";"6";"0";"0";"0";"2";"0";"2";"0"
"France";"5";"16890";"Denis Do Carmo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"2";"2";"1";"0"
"France";"4";"2380";"Alexandre Bouet";"2";"6";"1";"3";"0";"1";"1";"2";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"2";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"1";"0"
"France";"2";"17467";"Stevan Vitrant";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"France";"1";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"15"
"Spain";"14";"13705";"Biel Gomila";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
