"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"5"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"4";"4";"2";"2";"0";"0";"1";"1";"0";"0";"1";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0"
"Greece";"9";"11477";"Ioannis Alafragkis";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0"
"Greece";"8";"867";"Efstathios Kalogeropoulos";"1";"3";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"1";"4";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"1";"0";"0";"0";"2";"0";"0"
"Greece";"5";"1334";"Stylianos Argyropoulos";"3";"6";"2";"3";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"2";"2";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"2";"6";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"0";"0";"0"
"Greece";"2";"1328";"Konstantinos Genidounias";"2";"4";"1";"1";"0";"2";"0";"0";"0";"0";"1";"1";"3";"1";"1";"0";"0";"0";"2";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"4"
"Greece";"12";"179";"Aristeidis Chalyvopoulos";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"4";"0";"0"
"Greece";"14";"11480";"Dimitris Dimou";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Serbia";"1";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"6"
"Serbia";"2";"1059";"Petar Jaksic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Serbia";"3";"13696";"Marko Dimitrijevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Serbia";"4";"1029";"Vasilije Martinovic";"5";"8";"1";"3";"0";"0";"2";"3";"0";"0";"2";"2";"2";"1";"2";"0";"3";"2";"1";"1";"0"
"Serbia";"5";"440";"Djordje Lazic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"1";"1";"0"
"Serbia";"6";"1027";"Vuk Milojevic";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"2";"1";"0"
"Serbia";"7";"721";"Djordje Vucinic";"2";"3";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"0";"0"
"Serbia";"8";"696";"Nikola Lukic";"3";"7";"3";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Serbia";"9";"707";"Luka Pljevancic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0"
"Serbia";"10";"723";"Marko Radulovic";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"Serbia";"11";"670";"Ognjen Stojanovic";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";"3";"1";"0";"0";"2";"0";"0"
"Serbia";"12";"4783";"Bogdan Gavrilovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0"
"Serbia";"13";"18150";"Milan Glusac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Serbia";"14";"4549";"Strahinja Krstic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
