"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Romania";"12";"1403";"Levente Vancsik";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0"
"Romania";"11";"17566";"Sebastian Oltean";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
"Romania";"10";"1398";"Vlad Georgescu";"3";"7";"0";"3";"1";"1";"2";"3";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"1";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"5";"7";"5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"1";"0";"0";"1";"0";"0"
"Romania";"8";"12431";"Raducu Dinca";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Romania";"5";"12434";"Andrei Neamtu";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"4";"0";"0"
"Romania";"13";"1961";"Matei Marchitan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Romania";"4";"1399";"Tudor Fulea";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"1";"0";"0";"3";"0";"0"
"Romania";"3";"2066";"Matei Lutescu";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"2";"779";"Francesco Iudean";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"1";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"0";"5";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"3";"0";"0"
"Romania";"14";"2070";"David Bota";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0"
"Japan";"1";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Japan";"2";"4755";"Seiya Adachi";"5";"7";"1";"2";"0";"0";"1";"2";"0";"0";"3";"3";"0";"1";"2";"1";"1";"1";"0";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"3";"7";"1";"4";"0";"1";"1";"1";"1";"1";"0";"0";"2";"0";"3";"1";"1";"1";"4";"0";"0"
"Japan";"4";"16951";"MasayukI Yamamoto";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Japan";"5";"16615";"Kai Inoue";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0"
"Japan";"6";"4759";"Toi Suzuki";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"2";"1";"2";"0";"0";"0"
"Japan";"7";"12174";"Kiyomu Date";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"0";"0";"1";"0";"0";"0"
"Japan";"8";"4761";"Mitsuru Takata";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"0";"0";"0"
"Japan";"10";"4763";"Yusuke Inaba";"3";"7";"1";"3";"0";"1";"0";"1";"2";"2";"0";"0";"1";"2";"0";"0";"0";"1";"4";"0";"0"
"Japan";"11";"12171";"Daichi Ogihara";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"1";"0";"0"
"Japan";"12";"4765";"Kenta Araki";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"2";"0"
"Japan";"13";"15272";"Ren Sasano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"7"
"Japan";"14";"19513";"Taiki Katayama";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
