"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Croatia";"1";"75";"Toni Popadic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"2";"60";"Rino Buric";"2";"8";"0";"3";"0";"1";"2";"4";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"1";"0"
"Croatia";"3";"79";"Filip Krzic";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Croatia";"4";"71";"Luka Loncar";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"1";"0";"1";"0"
"Croatia";"5";"6";"Franko Lazic";"1";"6";"0";"5";"0";"0";"1";"1";"0";"0";"0";"0";"1";"2";"1";"2";"0";"1";"1";"0";"0"
"Croatia";"6";"915";"Andrija Basic";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"2";"0";"1";"0";"0";"0"
"Croatia";"8";"81";"Marko Zuvela";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"0";"1";"1";"1";"1";"0";"0"
"Croatia";"9";"917";"Jerko Marinic Kragic";"1";"5";"0";"1";"0";"0";"0";"3";"1";"1";"0";"0";"3";"0";"1";"0";"0";"1";"0";"0";"0"
"Croatia";"10";"935";"Branimir Herceg";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Croatia";"11";"65";"Zvonimir Butic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Croatia";"12";"1410";"Konstantin Kharkov";"5";"7";"3";"4";"0";"0";"1";"2";"1";"1";"0";"0";"1";"3";"1";"0";"1";"0";"0";"0";"0"
"Croatia";"13";"8339";"Mauro Ivan Cubranic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Croatia";"7";"64";"Duje Pejkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Croatia";"14";"8567";"Vlaho Pavlic";"2";"4";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"4";"0";"0"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"8"
"Georgia";"2";"2369";"Besarion Akhvlediani";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"3";"0";"1";"0";"0";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"3";"3";"0";"0"
"Georgia";"5";"2455";"Saba Tkeshelashvili";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Georgia";"6";"715";"Dusan Vasic";"2";"4";"1";"3";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"0";"1";"2";"0";"0"
"Georgia";"7";"12213";"Sandro Adeishvili";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0"
"Georgia";"8";"2370";"Jovan Saric";"0";"5";"0";"2";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"2";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"2";"4";"1";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"0"
"Georgia";"11";"13766";"Luka Chikovani";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"1";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"1";"0";"0"
"Georgia";"13";"2372";"Giorgi Gvetadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"14";"947";"Artsiom Dzikhtsiarenka";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
