"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Montenegro";"1";"1378";"Petar Tesanovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"Montenegro";"2";"2189";"Marko Mrsic";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"2";"0";"0"
"Montenegro";"3";"1368";"Djuro Radovic";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Montenegro";"4";"109";"Jovan Vujovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"2";"1";"0"
"Montenegro";"5";"2147";"Aljosa Macic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0"
"Montenegro";"6";"2393";"Savo Cetkovic";"1";"5";"1";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"2";"0";"0"
"Montenegro";"8";"1373";"Bogdan Djurdjic";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Montenegro";"9";"2155";"Miroslav Perkovic";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"3";"0";"0"
"Montenegro";"11";"2133";"Dusan Matkovic";"2";"6";"2";"4";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Montenegro";"12";"111";"Vasilije Radovic";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0";"0"
"Montenegro";"13";"102";"Darko Durovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Montenegro";"7";"2150";"Balsa Vuckovic";"2";"4";"0";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0"
"Montenegro";"10";"112";"Filip Gardasevic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Montenegro";"14";"4628";"Strahinja Gojkovic";"1";"2";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Greece";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"Greece";"2";"1328";"Konstantinos Genidounias";"1";"6";"1";"3";"0";"1";"0";"1";"0";"0";"0";"1";"4";"0";"2";"3";"0";"0";"2";"0";"0"
"Greece";"3";"1329";"Dimitrios Skoumpakis";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
"Greece";"4";"862";"Konstantinos Gkiouvetsis";"2";"4";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"2";"0";"0";"0"
"Greece";"5";"1334";"Stylianos Argyropoulos";"4";"9";"1";"5";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"2";"1";"0"
"Greece";"6";"1332";"Alexandros Papanastasiou";"2";"6";"2";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"3";"3";"0";"0"
"Greece";"7";"4822";"Nikolaos Gkillas";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0"
"Greece";"8";"867";"Efstathios Kalogeropoulos";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Greece";"9";"11477";"Ioannis Alafragkis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Greece";"10";"177";"Konstantinos Kakaris";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"1";"0";"0"
"Greece";"11";"128";"Dimitrios Nikolaidis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0"
"Greece";"12";"179";"Aristeidis Chalyvopoulos";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"1";"1";"1";"0";"0"
"Greece";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Greece";"14";"11480";"Dimitris Dimou";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
