"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"9"
"USA";"2";"15267";"Tyler Abramson";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"2";"1";"0"
"USA";"3";"2389";"Marko Vavic";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0"
"USA";"4";"23855";"Nicolas Saveljic";"1";"4";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"1";"1";"0";"0"
"USA";"5";"12216";"Jake Ehrhardt";"2";"3";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"2";"0";"0";"0"
"USA";"6";"23856";"Alexander Oprea";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"7";"16660";"Ben Liechty";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"3";"1";"0";"0"
"USA";"9";"20700";"Corbin Stanley";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"2";"1";"0";"0";"1";"1";"0"
"USA";"11";"23857";"Dom Brown";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"12";"2205";"Max Irving";"2";"6";"2";"4";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"2";"0"
"USA";"13";"18902";"Bernado Herzer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"14";"16657";"Ryan Ohl";"3";"5";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"10"
"Romania";"2";"779";"Francesco Iudean";"1";"5";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0"
"Romania";"3";"2066";"Matei Lutescu";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Romania";"4";"1399";"Tudor Fulea";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"2";"1";"1";"1";"0";"0";"1";"1";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0"
"Romania";"5";"12434";"Andrei Neamtu";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Romania";"7";"13709";"Andrei Tepelus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"8";"1401";"Nicolae Oanta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"3";"1";"0"
"Romania";"10";"1398";"Vlad Georgescu";"1";"8";"0";"4";"0";"1";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"2";"0";"0"
"Romania";"11";"16647";"David Belenyesi";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Romania";"14";"2070";"David Bota";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
"Romania";"13";"1961";"Matei Marchitan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
