"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"10"
"Spain";"3";"1290";"Alvaro Granados";"3";"9";"0";"4";"0";"0";"0";"2";"2";"2";"1";"1";"0";"2";"4";"1";"0";"1";"1";"0";"0"
"Spain";"2";"14362";"Oscar Blasco";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"5";"7";"4";"6";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Spain";"5";"596";"Pol Daura Gomez";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"0";"2";"1";"0";"0"
"Spain";"7";"582";"Marc Valls Ferrer";"1";"5";"0";"2";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"1";"0"
"Spain";"8";"12362";"Fran Valera";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"9";"5018";"Oscar Asensio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"2";"1";"0"
"Spain";"10";"595";"Max Casabella Belles";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Spain";"11";"420";"Unai Biel";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"14";"568";"Jan Perez";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0"
"Hungary";"1";"812";"Kristof Csoma";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"12"
"Hungary";"2";"1341";"Daniel Angyal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"3";"1342";"Krisztian Manhercz";"6";"9";"3";"6";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"2";"4";"0";"0"
"Hungary";"4";"4835";"Erik Molnar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Hungary";"5";"13744";"David Tatrai";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0";"0"
"Hungary";"6";"817";"Adam Nagy";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"2";"1";"0";"0"
"Hungary";"7";"13737";"Zsombor Ekler";"0";"6";"0";"4";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"4";"0";"1";"0";"0"
"Hungary";"8";"374";"Gergely Burian";"2";"4";"1";"3";"0";"0";"0";"0";"0";"0";"1";"1";"2";"4";"0";"0";"0";"1";"1";"0";"0"
"Hungary";"9";"17523";"Peter Kovacs";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0"
"Hungary";"10";"2368";"Vendel Vigvari";"3";"7";"0";"2";"0";"0";"2";"3";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Hungary";"11";"814";"Krisztian Bedo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Hungary";"12";"13740";"Akos Nagy";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Hungary";"13";"15241";"Viktor Gyapjas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hungary";"14";"13745";"Vince Varga";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0"
