"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Japan";"1";"15270";"Towa Nishimura";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"Japan";"2";"4755";"Seiya Adachi";"3";"6";"1";"3";"0";"0";"1";"1";"0";"1";"1";"1";"2";"1";"1";"1";"0";"1";"1";"0";"0"
"Japan";"3";"12170";"Taiyo Watanabe";"3";"8";"2";"6";"0";"0";"1";"2";"0";"0";"0";"0";"4";"1";"2";"0";"2";"0";"0";"0";"0"
"Japan";"4";"16951";"MasayukI Yamamoto";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Japan";"5";"16615";"Kai Inoue";"3";"3";"1";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Japan";"6";"4759";"Toi Suzuki";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"3";"0";"0"
"Japan";"7";"12174";"Kiyomu Date";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0"
"Japan";"8";"4761";"Mitsuru Takata";"3";"6";"2";"4";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"3";"0";"0"
"Japan";"9";"15271";"Ikkei Nitta";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Japan";"10";"4763";"Yusuke Inaba";"3";"8";"1";"3";"0";"1";"1";"3";"0";"0";"1";"1";"0";"0";"1";"0";"0";"2";"1";"0";"0"
"Japan";"11";"12171";"Daichi Ogihara";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"2";"0";"0"
"Japan";"12";"4765";"Kenta Araki";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"2";"0";"0";"1";"0";"1";"0"
"Japan";"13";"15272";"Ren Sasano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Japan";"15";"16611";"Yuki Moriya";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"USA";"1";"4895";"Adrian Weinberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"16"
"USA";"2";"15267";"Tyler Abramson";"3";"4";"1";"2";"1";"1";"1";"1";"0";"0";"0";"0";"2";"2";"2";"0";"0";"0";"3";"0";"0"
"USA";"3";"2389";"Marko Vavic";"2";"3";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"USA";"4";"23855";"Nicolas Saveljic";"1";"6";"0";"4";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"2";"0";"0"
"USA";"5";"12216";"Jake Ehrhardt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"6";"23856";"Alexander Oprea";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"USA";"7";"16660";"Ben Liechty";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0"
"USA";"8";"2392";"Dylan Woodhead";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"3";"0";"0";"0"
"USA";"9";"20700";"Corbin Stanley";"1";"3";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"USA";"10";"12214";"Chase William Dodd";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"2";"1";"2";"0";"0";"1";"1";"0";"0"
"USA";"11";"23857";"Dom Brown";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"USA";"12";"2205";"Max Irving";"5";"8";"4";"6";"0";"0";"1";"2";"0";"0";"0";"0";"2";"3";"0";"1";"0";"1";"2";"0";"0"
"USA";"13";"18902";"Bernado Herzer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"USA";"14";"16657";"Ryan Ohl";"3";"4";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
