"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Serbia";"14";"4549";"Strahinja Krstic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0"
"Serbia";"13";"18150";"Milan Glusac";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"Serbia";"12";"4783";"Bogdan Gavrilovic";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"9";"707";"Luka Pljevancic";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"3";"2";"0";"0"
"Serbia";"8";"696";"Nikola Lukic";"5";"6";"1";"2";"0";"0";"2";"2";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"3";"0";"0"
"Serbia";"2";"1059";"Petar Jaksic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0"
"Serbia";"7";"721";"Djordje Vucinic";"0";"5";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0";"0"
"Serbia";"6";"1027";"Vuk Milojevic";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0"
"Serbia";"5";"440";"Djordje Lazic";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Serbia";"4";"1029";"Vasilije Martinovic";"0";"6";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"2";"1";"0";"2";"0";"1";"1";"0"
"Serbia";"1";"4781";"Vladimir Misovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"10";"595";"Max Casabella Belles";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Spain";"11";"420";"Unai Biel";"1";"4";"1";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0"
"Spain";"9";"1296";"Roger Tahull";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Spain";"8";"12362";"Fran Valera";"2";"3";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"3";"0";"0";"0";"1";"1";"0"
"Spain";"7";"582";"Marc Valls Ferrer";"2";"3";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0"
"Spain";"5";"596";"Pol Daura Gomez";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"5";"8";"2";"4";"0";"1";"2";"2";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"2";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"2";"6";"1";"5";"0";"0";"0";"0";"1";"1";"0";"0";"3";"2";"1";"2";"0";"0";"3";"1";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"2";"0";"17"
"Spain";"2";"568";"Jan Perez";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"1";"0"
"Spain";"14";"13705";"Biel Gomila";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0"
"Serbia";"3";"13696";"Marko Dimitrijevic";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0"
"Serbia";"10";"4554";"Luka Gladovic";"0";"4";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Serbia";"11";"670";"Ognjen Stojanovic";"2";"5";"1";"2";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"1";"0";"0"
