"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Georgia";"1";"1261";"Irakli Razmadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"12"
"Romania";"1";"1392";"Marius-Florin Tic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"13";"1961";"Matei Marchitan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Romania";"2";"779";"Francesco Iudean";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0"
"Romania";"3";"2066";"Matei Lutescu";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0"
"Romania";"4";"1399";"Tudor Fulea";"1";"6";"0";"2";"0";"1";"0";"2";"1";"1";"0";"0";"3";"0";"0";"0";"0";"1";"3";"0";"0"
"Romania";"5";"12434";"Andrei Neamtu";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"2";"0";"0";"0"
"Romania";"6";"1397";"Andrei Prioteasa";"1";"2";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"2";"1";"1";"0";"3";"2";"1";"0"
"Romania";"9";"126";"Silvian Colodrovschi";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0"
"Romania";"10";"1398";"Vlad Georgescu";"5";"11";"1";"4";"0";"1";"2";"4";"2";"2";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Romania";"12";"1403";"Levente Vancsik";"2";"3";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"4";"0";"0";"0";"2";"5";"2";"0"
"Romania";"14";"2070";"David Bota";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"2";"2369";"Besarion Akhvlediani";"8";"12";"2";"5";"0";"0";"4";"5";"2";"2";"0";"0";"0";"2";"2";"0";"0";"1";"2";"0";"0"
"Georgia";"3";"1483";"Valiko Dadvani";"7";"7";"4";"4";"0";"0";"2";"2";"0";"0";"1";"1";"3";"3";"1";"0";"0";"3";"0";"1";"0"
"Georgia";"4";"1484";"Nika Shushiashvili";"1";"6";"0";"3";"0";"0";"0";"2";"1";"1";"0";"0";"3";"0";"1";"0";"4";"1";"1";"0";"0"
"Georgia";"5";"2455";"Saba Tkeshelashvili";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"Georgia";"6";"715";"Dusan Vasic";"3";"5";"2";"3";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2";"1";"0";"1";"0";"0";"0"
"Georgia";"7";"12213";"Sandro Adeishvili";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"2";"1";"3";"0"
"Georgia";"8";"2370";"Jovan Saric";"1";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0"
"Georgia";"9";"1252";"Revaz Imnaishvili";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"2";"0";"0";"0";"0";"0";"0"
"Georgia";"10";"1258";"Giorgi Magrakvelidze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"1";"0"
"Georgia";"11";"13766";"Luka Chikovani";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Georgia";"12";"1377";"Stefan Pjesivac";"2";"2";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0";"2";"0";"1";"0"
"Georgia";"13";"2372";"Giorgi Gvetadze";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Georgia";"14";"947";"Artsiom Dzikhtsiarenka";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Romania";"7";"1996";"Raul Bindea";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Romania";"8";"1401";"Nicolae Oanta";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"Romania";"11";"16647";"David Belenyesi";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0"
